System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
20:36:24:336, 38321406267595,    0.119,    7.000,  800,   3.137,   0.373,   0.104,   1.753,   0.208,   0.058, 59,  0,   0.384,   0.046,   0.013,   0.052,   0.006,   0.002,  51.000,  51.000,  71.000,   0.000,   0.000,   24,   0.552
20:36:24:445, 38321601470877,    0.227,    7.000, 2500,   5.124,   0.929,   0.258,   3.738,   0.614,   0.170, 59,  0,   0.314,   0.080,   0.022,   0.122,   0.019,   0.005,  51.000,  51.000,  71.000,   0.000,   0.000,   12,   1.800
20:36:24:553, 38321797313558,    0.336,    3.000,  900,   1.990,   1.145,   0.318,   0.599,   0.679,   0.189, 58,  0,   0.195,   0.101,   0.028,   0.182,   0.039,   0.011,  51.000,  51.000,  71.000,   0.000,   0.000,   10,   0.165
20:36:24:662, 38321993405255,    0.445,    2.000,  900,   2.463,   1.414,   0.393,   1.045,   0.793,   0.220, 58,  0,   0.154,   0.118,   0.033,   0.224,   0.064,   0.018,  51.000,  51.000,  71.000,   0.000,   0.000,    7,   0.000
20:36:24:772, 38322191009753,    0.555,    5.000,  900,   2.808,   1.722,   0.478,   1.378,   0.944,   0.262, 58,  0,   0.176,   0.137,   0.038,   0.222,   0.088,   0.024,  51.000,  51.000,  71.000,   0.000,   0.000,   16,   0.000
20:36:24:881, 38322387235903,    0.664,    5.000,  900,   2.733,   2.020,   0.561,   1.265,   1.082,   0.301, 58,  0,   0.206,   0.159,   0.044,   0.254,   0.116,   0.032,  51.000,  51.000,  71.000,   0.000,   0.000,   11,   0.199
20:36:24:990, 38322584083382,    0.773,   10.000,  900,   3.296,   2.380,   0.661,   1.785,   1.277,   0.355, 58,  0,   0.265,   0.188,   0.052,   0.287,   0.147,   0.041,  51.000,  51.000,  71.000,   0.000,   0.000,   31,   3.660
20:36:25:101, 38322781812795,    0.883,   17.000, 3700,  11.494,   3.643,   1.012,   9.775,   2.351,   0.653, 79,  0,   0.533,   0.247,   0.069,   0.253,   0.175,   0.049,  51.000,  51.000,  71.000,   0.000,   0.000,    7,   1.106
20:36:25:212, 38322983022385,    0.995,    6.000, 1700,   7.644,   4.497,   1.249,   6.125,   3.036,   0.843, 60,  0,   0.282,   0.279,   0.077,   0.208,   0.198,   0.055,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
20:36:25:322, 38323179638596,    1.104,   12.000, 2700,   3.393,   4.868,   1.352,   1.923,   3.246,   0.902, 59,  0,   0.276,   0.309,   0.086,   0.213,   0.221,   0.062,  51.000,  51.000,  71.000,   0.000,   0.000,  103,   0.000
20:36:25:432, 38323378293794,    1.214,   15.000, 3700,   5.660,   5.493,   1.526,   4.064,   3.694,   1.026, 60,  0,   0.347,   0.347,   0.096,   0.232,   0.247,   0.069,  51.000,  51.000,  71.000,   0.000,   0.000,    5,   0.786
20:36:25:542, 38323577017421,    1.325,   11.000, 1200,   3.550,   5.885,   1.635,   1.986,   3.913,   1.087, 59,  0,   0.228,   0.372,   0.103,   0.211,   0.270,   0.075,  51.000,  51.000,  71.000,   0.000,   0.000,    8,   0.000
20:36:25:652, 38323775047662,    1.435,    8.000,  800,   3.403,   6.259,   1.739,   1.958,   4.129,   1.147, 58,  0,   0.219,   0.396,   0.110,   0.224,   0.295,   0.082,  51.000,  51.000,  71.000,   0.000,   0.000,   22,   0.000
20:36:25:762, 38323971814779,    1.544,    4.000, 3700,   2.834,   6.569,   1.825,   1.380,   4.280,   1.189, 58,  0,   0.200,   0.418,   0.116,   0.259,   0.323,   0.090,  51.000,  51.000,  71.000,   0.000,   0.000,   94,   0.000
20:36:25:873, 38324171594436,    1.655,    4.000,  900,   3.257,   6.930,   1.925,   1.630,   4.461,   1.239, 58,  0,   0.186,   0.439,   0.122,   0.204,   0.346,   0.096,  51.000,  51.000,  71.000,   0.000,   0.000,    4,   0.000
20:36:25:984, 38324371358083,    1.766,    4.000,  900,   2.688,   7.229,   2.008,   1.254,   4.600,   1.278, 58,  0,   0.168,   0.458,   0.127,   0.228,   0.371,   0.103,  51.000,  51.000,  71.000,   0.000,   0.000,   26,   0.000
20:36:26:094, 38324569845111,    1.876,   18.000, 3700,  11.475,   8.494,   2.359,  10.031,   5.706,   1.585, 74,  0,   0.292,   0.490,   0.136,   0.273,   0.401,   0.111,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
20:36:26:204, 38324768540051,    1.987,   30.000, 3700,  18.247,  10.508,   2.919,  16.097,   7.483,   2.079, 63,  0,   0.811,   0.579,   0.161,   0.466,   0.453,   0.126,  51.000,  51.000,  71.000,   0.000,   0.000,   80,  15.849
20:36:26:315, 38324967520127,    2.097,    8.000, 1200,   3.939,  10.944,   3.040,   2.221,   7.728,   2.147, 60,  0,   0.282,   0.610,   0.170,   0.226,   0.478,   0.133,  51.000,  51.000,  71.000,   0.000,   0.000,    7,   0.959
20:36:26:425, 38325166039725,    2.208,    7.000, 3800,   6.094,  11.616,   3.227,   4.503,   8.225,   2.285, 60,  0,   0.338,   0.648,   0.180,   0.247,   0.505,   0.140,  51.000,  51.000,  71.000,   0.000,   0.000,   18,   2.872
20:36:26:534, 38325362843838,    2.317,    5.000, 3700,   4.403,  12.097,   3.360,   3.004,   8.553,   2.376, 65,  0,   0.234,   0.673,   0.187,   0.208,   0.528,   0.147,  51.000,  51.000,  71.000,   0.000,   0.000,    7,   0.000
20:36:26:643, 38325558878485,    2.426,    3.000,  900,   3.053,  12.430,   3.453,   1.601,   8.728,   2.424, 59,  0,   0.183,   0.693,   0.193,   0.204,   0.550,   0.153,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
20:36:26:752, 38325755556448,    2.535,    4.000,  900,   2.549,  12.708,   3.530,   1.124,   8.850,   2.458, 58,  0,   0.161,   0.711,   0.197,   0.224,   0.574,   0.160,  51.000,  51.000,  71.000,   0.000,   0.000,   12,   0.000
20:36:26:862, 38325953523350,    2.645,    3.000,  900,   2.878,  13.025,   3.618,   1.445,   9.009,   2.503, 58,  0,   0.184,   0.731,   0.203,   0.233,   0.600,   0.167,  51.000,  51.000,  71.000,   0.000,   0.000,    9,   0.000
20:36:26:960, 38326130831057,    2.744,    2.000, 1600,   2.599,  13.281,   3.689,   1.188,   9.126,   2.535, 58,  0,   0.154,   0.746,   0.207,   0.227,   0.622,   0.173,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
20:36:27:080, 38326344376436,    2.862,   23.000, 3700,  17.957,  15.411,   4.281,  16.248,  11.054,   3.071, 82,  0,   0.646,   0.823,   0.229,   0.313,   0.660,   0.183,  51.000,  51.000,  71.000,   0.000,   0.000,   34,   6.016
20:36:27:189, 38326540897868,    2.971,   21.000, 3700,  20.989,  17.702,   4.917,  19.195,  13.150,   3.653, 91,  0,   0.323,   0.858,   0.238,   0.214,   0.683,   0.190,  51.000,  51.000,  71.000,   0.000,   0.000,   34,   3.926
20:36:27:298, 38326737675367,    3.081,   15.000, 3700,  15.989,  19.450,   5.403,  14.245,  14.707,   4.085, 85,  0,   0.262,   0.887,   0.246,   0.215,   0.706,   0.196,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
20:36:27:407, 38326934509331,    3.190,   22.000, 3700,  19.519,  21.585,   5.996,  17.979,  16.673,   4.631, 82,  0,   0.405,   0.931,   0.259,   0.235,   0.732,   0.203,  51.000,  51.000,  71.000,   0.000,   0.000,    4,   0.669
20:36:27:518, 38327133042361,    3.300,   13.000, 3700,  15.364,  23.279,   6.466,  13.708,  18.185,   5.051, 88,  0,   0.213,   0.954,   0.265,   0.211,   0.755,   0.210,  51.000,  51.000,  71.000,   0.000,   0.000,  130,   0.000
20:36:27:626, 38327327988658,    3.409,   13.000, 3700,  15.580,  24.967,   6.935,  13.897,  19.690,   5.469, 85,  0,   0.179,   0.974,   0.270,   0.212,   0.778,   0.216,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
20:36:27:737, 38327526492900,    3.519,   12.000, 3700,  14.919,  26.612,   7.392,  13.482,  21.177,   5.882, 86,  0,   0.152,   0.990,   0.275,   0.204,   0.801,   0.222,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
20:36:27:845, 38327721580932,    3.627,   13.000, 3700,  15.347,  28.275,   7.854,  13.980,  22.692,   6.303, 81,  0,   0.177,   1.010,   0.280,   0.199,   0.822,   0.228,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
20:36:27:954, 38327917686251,    3.736,   14.000, 3800,  15.456,  29.959,   8.322,  13.954,  24.212,   6.726, 86,  0,   0.244,   1.036,   0.288,   0.202,   0.844,   0.235,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
20:36:28:063, 38328114592512,    3.846,   15.000, 3700,  15.910,  31.700,   8.805,  14.326,  25.779,   7.161, 86,  0,   0.245,   1.063,   0.295,   0.218,   0.868,   0.241,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.430
20:36:28:172, 38328311319859,    3.955,   29.000, 3700,  22.228,  34.129,   9.480,  20.603,  28.031,   7.786, 81,  0,   0.312,   1.097,   0.305,   0.209,   0.891,   0.248,  51.000,  51.000,  71.000,   0.000,   0.000,  139,   0.000
20:36:28:281, 38328506304218,    4.063,   13.000, 3700,  15.225,  35.778,   9.938,  13.798,  29.526,   8.202, 80,  0,   0.162,   1.115,   0.310,   0.203,   0.913,   0.254,  51.000,  51.000,  71.000,   0.000,   0.000,    0,   0.000
20:36:28:390, 38328703293454,    4.173,   32.000, 3700,  17.817,  37.728,  10.480,  16.259,  31.305,   8.696, 81,  0,   0.240,   1.141,   0.317,   0.220,   0.937,   0.260,  51.000,  51.000,  71.000,   0.000,   0.000,    9,   1.336
20:36:28:500, 38328899874979,    4.282,   12.000, 3700,  15.058,  39.373,  10.937,  13.600,  32.790,   9.108, 95,  0,   0.220,   1.165,   0.324,   0.212,   0.960,   0.267,  51.000,  51.000,  71.000,   0.000,   0.000,  208,   0.000
20:36:28:609, 38329096771937,    4.391,   12.000, 3700,  14.618,  40.972,  11.381,  13.237,  34.238,   9.511, 85,  0,   0.157,   1.182,   0.328,   0.203,   0.982,   0.273,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
20:36:28:717, 38329291855981,    4.500,   12.000, 3800,  15.231,  42.622,  11.840,  13.729,  35.726,   9.924, 87,  0,   0.168,   1.200,   0.333,   0.195,   1.004,   0.279,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
20:36:28:827, 38329488624235,    4.609,   13.000, 3700,  14.779,  44.238,  12.288,  13.402,  37.191,  10.331, 84,  0,   0.170,   1.219,   0.339,   0.196,   1.025,   0.285,  51.000,  51.000,  71.000,   0.000,   0.000,    0,   0.000
20:36:28:936, 38329685436107,    4.718,   12.000, 3700,  14.854,  45.862,  12.739,  13.506,  38.668,  10.741, 88,  0,   0.161,   1.237,   0.344,   0.190,   1.046,   0.291,  51.000,  51.000,  71.000,   0.000,   0.000,  136,   0.000
20:36:29:045, 38329882296072,    4.828,   12.000, 3700,  15.175,  47.522,  13.200,  13.633,  40.159,  11.155, 88,  0,   0.178,   1.256,   0.349,   0.192,   1.067,   0.296,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
20:36:29:154, 38330078381286,    4.937,   22.000, 3700,  18.529,  49.540,  13.761,  17.073,  42.019,  11.672, 87,  0,   0.215,   1.280,   0.355,   0.194,   1.088,   0.302,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
20:36:29:264, 38330275213783,    5.046,   20.000, 3700,  18.806,  51.597,  14.332,  17.444,  43.927,  12.202, 85,  0,   0.176,   1.299,   0.361,   0.194,   1.109,   0.308,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
20:36:29:384, 38330491849007,    5.166,   24.000, 3800,  16.493,  53.582,  14.884,  15.129,  45.747,  12.708, 79,  0,   0.195,   1.322,   0.367,   0.215,   1.135,   0.315,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.513
20:36:29:482, 38330668979390,    5.265,   15.000, 3700,  16.108,  55.167,  15.324,  14.538,  47.178,  13.105, 81,  0,   0.231,   1.345,   0.374,   0.204,   1.155,   0.321,  51.000,  51.000,  71.000,   0.000,   0.000,   71,   8.233
20:36:29:592, 38330865661708,    5.374,   12.000, 3700,  14.611,  56.763,  15.768,  13.228,  48.623,  13.507, 87,  0,   0.155,   1.362,   0.378,   0.197,   1.177,   0.327,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
20:36:29:701, 38331062401690,    5.483,   11.000, 3700,  14.729,  58.373,  16.215,  13.340,  50.081,  13.912, 86,  0,   0.153,   1.379,   0.383,   0.191,   1.197,   0.333,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
20:36:29:809, 38331257489618,    5.592,   12.000, 3700,  15.016,  60.001,  16.667,  13.507,  51.545,  14.318, 86,  0,   0.160,   1.396,   0.388,   0.191,   1.218,   0.338,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
20:36:29:920, 38331456088873,    5.702,   12.000, 3700,  14.860,  61.640,  17.122,  13.506,  53.036,  14.732, 87,  0,   0.168,   1.414,   0.393,   0.193,   1.239,   0.344,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
20:36:30:029, 38331653103855,    5.812,   12.000, 3700,  14.890,  63.270,  17.575,  13.511,  54.514,  15.143, 87,  0,   0.168,   1.433,   0.398,   0.188,   1.260,   0.350,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
20:36:30:137, 38331847967583,    5.920,   18.000, 3700,  17.921,  65.210,  18.114,  16.356,  56.285,  15.635, 85,  0,   0.228,   1.458,   0.405,   0.191,   1.281,   0.356,  51.000,  51.000,  71.000,   0.000,   0.000,    0,   0.000
20:36:30:246, 38332042902863,    6.028,   23.000, 3700,  21.504,  67.539,  18.761,  20.126,  58.465,  16.240, 93,  0,   0.203,   1.480,   0.411,   0.198,   1.302,   0.362,  51.000,  51.000,  71.000,   0.000,   0.000,  136,   0.000
20:36:30:380, 38332285211552,    6.163,   25.000, 3700,  16.318,  69.735,  19.371,  14.832,  60.461,  16.795, 85,  0,   0.190,   1.505,   0.418,   0.207,   1.330,   0.369,  51.000,  51.000,  71.000,   0.000,   0.000,    2,   0.391
20:36:30:463, 38332433898106,    6.245,   15.000, 3700,  15.871,  71.046,  19.735,  14.550,  61.663,  17.129, 82,  0,   0.233,   1.524,   0.423,   0.209,   1.347,   0.374,  51.000,  51.000,  71.000,   0.000,   0.000,   41,   4.767
20:36:30:572, 38332630443105,    6.355,   12.000, 3700,  14.904,  72.674,  20.187,  13.485,  63.135,  17.538, 82,  0,   0.173,   1.543,   0.429,   0.193,   1.368,   0.380,  51.000,  51.000,  71.000,   0.000,   0.000,    0,   0.000
20:36:30:681, 38332827324829,    6.464,   16.000, 3800,  16.266,  74.453,  20.681,  14.719,  64.745,  17.985, 89,  0,   0.244,   1.570,   0.436,   0.194,   1.390,   0.386,  51.000,  51.000,  71.000,   0.000,   0.000,  135,   0.000
20:36:30:791, 38333024251698,    6.573,   12.000, 3700,  14.830,  76.075,  21.132,  13.476,  66.220,  18.394, 89,  0,   0.164,   1.588,   0.441,   0.191,   1.410,   0.392,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
20:36:30:900, 38333221011232,    6.683,   12.000, 3700,  14.957,  77.710,  21.586,  13.431,  67.688,  18.802, 91,  0,   0.159,   1.605,   0.446,   0.195,   1.432,   0.398,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
