System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
19:35:54:119, 31787001723129,    0.109,   10.000, 3800,  11.346,   1.233,   0.342,   9.974,   1.084,   0.301, 53,  0,   0.452,   0.049,   0.014,   0.038,   0.004,   0.001,  51.000,  51.000,  71.000,   0.000,   0.000,   10,   1.201
19:35:54:231, 31787202974320,    0.220,    6.000,  800,   2.382,   1.499,   0.416,   1.037,   1.199,   0.333, 51,  0,   0.379,   0.091,   0.025,   0.015,   0.006,   0.002,  51.000,  51.000,  71.000,   0.000,   0.000,   18,   0.267
19:35:54:341, 31787400824862,    0.330,    3.000,  800,   1.880,   1.706,   0.474,   0.560,   1.261,   0.350, 51,  0,   0.298,   0.124,   0.035,   0.069,   0.013,   0.004,  51.000,  51.000,  71.000,   0.000,   0.000,    8,   0.076
19:35:54:451, 31787598596601,    0.440,    6.000,  800,   2.539,   1.985,   0.551,   1.198,   1.393,   0.387, 51,  0,   0.361,   0.164,   0.046,   0.024,   0.016,   0.004,  51.000,  51.000,  71.000,   0.000,   0.000,   18,   0.000
19:35:54:563, 31787800037464,    0.552,    4.000,  800,   2.113,   2.221,   0.617,   0.702,   1.471,   0.409, 50,  0,   0.169,   0.183,   0.051,   0.233,   0.042,   0.012,  51.000,  51.000,  71.000,   0.000,   0.000,   23,   0.000
19:35:54:674, 31787999831276,    0.663,    3.000,  800,   2.452,   2.493,   0.693,   1.004,   1.583,   0.440, 50,  0,   0.178,   0.203,   0.056,   0.244,   0.069,   0.019,  51.000,  51.000,  71.000,   0.000,   0.000,    9,   0.000
19:35:54:784, 31788197799797,    0.773,    7.000, 3700,   5.040,   3.048,   0.847,   3.594,   1.978,   0.549, 59,  0,   0.189,   0.223,   0.062,   0.208,   0.092,   0.026,  51.000,  51.000,  71.000,   0.000,   0.000,  202,   0.000
19:35:54:894, 31788396174523,    0.883,    4.000,  800,   3.011,   3.379,   0.939,   1.356,   2.127,   0.591, 50,  0,   0.168,   0.242,   0.067,   0.190,   0.113,   0.031,  51.000,  51.000,  71.000,   0.000,   0.000,   13,   0.000
19:35:54:989, 31788567524752,    0.979,    8.000, 1000,   2.516,   3.619,   1.005,   1.040,   2.226,   0.618, 50,  0,   0.171,   0.258,   0.072,   0.271,   0.139,   0.039,  51.000,  51.000,  71.000,   0.000,   0.000,   32,   0.000
19:35:55:127, 31788815662789,    1.116,   15.000, 3300,   4.288,   4.210,   1.169,   2.839,   2.618,   0.727, 54,  0,   0.214,   0.288,   0.080,   0.253,   0.174,   0.048,  51.000,  51.000,  71.000,   0.000,   0.000,    6,   0.784
19:35:55:224, 31788990567669,    1.214,    5.000,  800,   2.873,   4.489,   1.247,   1.428,   2.757,   0.766, 50,  0,   0.195,   0.307,   0.085,   0.198,   0.193,   0.054,  51.000,  51.000,  71.000,   0.000,   0.000,   29,   0.352
19:35:55:334, 31789188607179,    1.324,    2.000,  800,   2.462,   4.760,   1.322,   0.995,   2.866,   0.796, 50,  0,   0.181,   0.326,   0.091,   0.262,   0.222,   0.062,  51.000,  51.000,  71.000,   0.000,   0.000,   10,   0.000
19:35:55:444, 31789386618118,    1.434,    7.000,  800,   3.626,   5.159,   1.433,   2.105,   3.098,   0.860, 50,  0,   0.277,   0.357,   0.099,   0.213,   0.245,   0.068,  51.000,  51.000,  71.000,   0.000,   0.000,   20,   0.000
19:35:55:554, 31789584709742,    1.544,    2.000,  800,   2.214,   5.403,   1.501,   0.771,   3.182,   0.884, 50,  0,   0.173,   0.376,   0.104,   0.242,   0.272,   0.076,  51.000,  51.000,  71.000,   0.000,   0.000,   10,   0.000
19:35:55:664, 31789782965006,    1.654,    3.000,  800,   3.461,   5.784,   1.607,   2.044,   3.408,   0.947, 50,  0,   0.170,   0.395,   0.110,   0.210,   0.295,   0.082,  51.000,  51.000,  71.000,   0.000,   0.000,    8,   0.000
19:35:55:774, 31789979241211,    1.763,    2.000,  800,   2.310,   6.036,   1.677,   0.899,   3.506,   0.974, 50,  0,   0.162,   0.412,   0.115,   0.210,   0.318,   0.088,  51.000,  51.000,  71.000,   0.000,   0.000,    8,   0.000
19:35:55:882, 31790173774054,    1.871,    3.000, 2300,   3.815,   6.448,   1.791,   2.380,   3.763,   1.045, 50,  0,   0.206,   0.435,   0.121,   0.211,   0.341,   0.095,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
19:35:55:991, 31790370335989,    1.980,    3.000,  800,   2.183,   6.686,   1.857,   0.492,   3.817,   1.060, 50,  0,   0.173,   0.454,   0.126,   0.197,   0.362,   0.101,  51.000,  51.000,  71.000,   0.000,   0.000,    7,   0.000
19:35:56:110, 31790586329543,    2.100,   13.000, 3900,   5.246,   7.316,   2.032,   3.809,   4.274,   1.187, 59,  0,   0.211,   0.479,   0.133,   0.217,   0.388,   0.108,  51.000,  51.000,  71.000,   0.000,   0.000,    6,   0.699
19:35:56:209, 31790762392736,    2.198,    2.000, 1800,   4.281,   7.735,   2.149,   2.875,   4.555,   1.265, 50,  0,   0.222,   0.501,   0.139,   0.202,   0.408,   0.113,  51.000,  51.000,  71.000,   0.000,   0.000,    4,   0.524
19:35:56:318, 31790958847195,    2.307,    4.000,  800,   1.840,   7.935,   2.204,   0.428,   4.602,   1.278, 50,  0,   0.165,   0.519,   0.144,   0.197,   0.430,   0.119,  51.000,  51.000,  71.000,   0.000,   0.000,    8,   0.000
19:35:56:427, 31791154844549,    2.416,    3.000, 2400,   3.460,   8.312,   2.309,   2.016,   4.821,   1.339, 50,  0,   0.238,   0.544,   0.151,   0.209,   0.452,   0.126,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
19:35:56:537, 31791352973896,    2.526,    7.000, 1600,   2.187,   8.553,   2.376,   0.761,   4.905,   1.363, 51,  0,   0.205,   0.567,   0.158,   0.196,   0.474,   0.132,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
19:35:56:661, 31791576582687,    2.650,    5.000,  800,   3.687,   9.011,   2.503,   2.277,   5.188,   1.441, 50,  0,   0.216,   0.594,   0.165,   0.194,   0.498,   0.138,  51.000,  51.000,  71.000,   0.000,   0.000,   20,   0.000
19:35:56:771, 31791774342457,    2.760,    5.000, 2700,   4.678,   9.525,   2.646,   3.214,   5.541,   1.539, 50,  0,   0.181,   0.614,   0.170,   0.257,   0.526,   0.146,  51.000,  51.000,  71.000,   0.000,   0.000,   92,   0.000
19:35:56:881, 31791972348077,    2.870,   12.000, 2800,   2.753,   9.828,   2.730,   1.355,   5.690,   1.581, 53,  0,   0.195,   0.635,   0.176,   0.195,   0.548,   0.152,  51.000,  51.000,  71.000,   0.000,   0.000,    0,   0.000
19:35:56:991, 31792170745776,    2.980,    2.000,  800,   3.128,  10.172,   2.826,   1.537,   5.860,   1.628, 50,  0,   0.166,   0.654,   0.182,   0.193,   0.569,   0.158,  51.000,  51.000,  71.000,   0.000,   0.000,    7,   0.000
19:35:57:110, 31792386252422,    3.100,   14.000, 3900,   4.761,  10.743,   2.984,   3.327,   6.258,   1.738, 63,  0,   0.209,   0.678,   0.188,   0.218,   0.595,   0.165,  51.000,  51.000,  71.000,   0.000,   0.000,    5,   0.723
19:35:57:212, 31792567895248,    3.201,    4.000,  800,   2.896,  11.035,   3.065,   1.469,   6.406,   1.779, 50,  0,   0.207,   0.699,   0.194,   0.204,   0.616,   0.171,  51.000,  51.000,  71.000,   0.000,   0.000,   24,   0.393
19:35:57:322, 31792766042545,    3.311,    4.000,  800,   2.335,  11.292,   3.137,   0.879,   6.503,   1.806, 50,  0,   0.164,   0.717,   0.199,   0.251,   0.643,   0.179,  51.000,  51.000,  71.000,   0.000,   0.000,   25,   0.000
19:35:57:433, 31792965581293,    3.422,    3.000, 2200,   2.925,  11.616,   3.227,   1.434,   6.662,   1.850, 50,  0,   0.233,   0.743,   0.206,   0.255,   0.672,   0.187,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
19:35:57:543, 31793163888220,    3.532,    5.000,  800,   2.034,  11.840,   3.289,   0.537,   6.721,   1.867, 50,  0,   0.172,   0.762,   0.212,   0.196,   0.693,   0.193,  51.000,  51.000,  71.000,   0.000,   0.000,   21,   0.000
19:35:57:654, 31793363655918,    3.643,    2.000,  800,   2.379,  12.104,   3.362,   0.808,   6.811,   1.892, 50,  0,   0.166,   0.781,   0.217,   0.251,   0.721,   0.200,  51.000,  51.000,  71.000,   0.000,   0.000,    9,   0.000
19:35:57:764, 31793561854045,    3.753,    2.000,  800,   2.310,  12.359,   3.433,   0.905,   6.910,   1.920, 50,  0,   0.165,   0.799,   0.222,   0.211,   0.744,   0.207,  51.000,  51.000,  71.000,   0.000,   0.000,    8,   0.000
19:35:57:874, 31793759972871,    3.863,    4.000,  800,   2.310,  12.613,   3.504,   0.896,   7.009,   1.947, 50,  0,   0.164,   0.817,   0.227,   0.211,   0.767,   0.213,  51.000,  51.000,  71.000,   0.000,   0.000,   20,   0.000
19:35:57:985, 31793960128524,    3.974,    2.000,  800,   2.416,  12.881,   3.578,   0.968,   7.117,   1.977, 50,  0,   0.182,   0.837,   0.233,   0.245,   0.795,   0.221,  51.000,  51.000,  71.000,   0.000,   0.000,    8,   0.000
19:35:58:126, 31794213979894,    4.115,   21.000, 3800,   4.533,  13.521,   3.756,   3.114,   7.556,   2.099, 61,  0,   0.222,   0.868,   0.241,   0.214,   0.825,   0.229,  51.000,  51.000,  71.000,   0.000,   0.000,    4,   0.599
19:35:58:207, 31794358891386,    4.196,    1.000, 1200,   3.258,  13.783,   3.829,   1.751,   7.697,   2.138, 50,  0,   0.222,   0.886,   0.246,   0.203,   0.841,   0.234,  51.000,  51.000,  71.000,   0.000,   0.000,    7,   0.655
19:35:58:302, 31794530074751,    4.291,    4.000,  800,   1.886,  13.962,   3.878,   0.474,   7.742,   2.150, 50,  0,   0.176,   0.903,   0.251,   0.199,   0.860,   0.239,  51.000,  51.000,  71.000,   0.000,   0.000,    9,   0.000
19:35:58:412, 31794727968721,    4.401,    7.000,  800,   2.378,  14.224,   3.951,   0.977,   7.849,   2.180, 50,  0,   0.163,   0.921,   0.256,   0.210,   0.883,   0.245,  51.000,  51.000,  71.000,   0.000,   0.000,   22,   0.000
19:35:58:522, 31794926087999,    4.511,    4.000,  800,   2.676,  14.518,   4.033,   1.195,   7.981,   2.217, 50,  0,   0.229,   0.946,   0.263,   0.253,   0.911,   0.253,  51.000,  51.000,  71.000,   0.000,   0.000,   25,   0.000
19:35:58:634, 31795127634160,    4.623,    2.000,  800,   2.275,  14.773,   4.104,   0.820,   8.072,   2.242, 50,  0,   0.167,   0.965,   0.268,   0.252,   0.939,   0.261,  51.000,  51.000,  71.000,   0.000,   0.000,    9,   0.000
19:35:58:744, 31795325786758,    4.733,    5.000,  800,   3.008,  15.104,   4.196,   1.391,   8.225,   2.285, 50,  0,   0.177,   0.984,   0.273,   0.212,   0.963,   0.267,  51.000,  51.000,  71.000,   0.000,   0.000,   26,   0.000
19:35:58:854, 31795523780300,    4.843,    3.000,  800,   2.309,  15.358,   4.266,   0.852,   8.319,   2.311, 50,  0,   0.165,   1.003,   0.278,   0.260,   0.991,   0.275,  51.000,  51.000,  71.000,   0.000,   0.000,    9,   0.000
19:35:58:964, 31795722447136,    4.953,    5.000, 3700,   6.383,  16.063,   4.462,   4.751,   8.844,   2.457, 53,  0,   0.211,   1.026,   0.285,   0.211,   1.014,   0.282,  51.000,  51.000,  71.000,   0.000,   0.000,  127,   0.000
19:35:59:075, 31795921334014,    5.064,    3.000,  800,   2.223,  16.308,   4.530,   0.826,   8.935,   2.482, 50,  0,   0.165,   1.044,   0.290,   0.197,   1.036,   0.288,  51.000,  51.000,  71.000,   0.000,   0.000,    4,   0.000
19:35:59:185, 31796120016125,    5.174,    6.000, 1700,   6.988,  17.079,   4.744,   5.446,   9.536,   2.649, 51,  0,   0.304,   1.077,   0.299,   0.231,   1.062,   0.295,  51.000,  51.000,  71.000,   0.000,   0.000,   10,   1.345
19:35:59:296, 31796318926060,    5.285,    5.000,  800,   1.887,  17.288,   4.802,   0.483,   9.589,   2.664, 50,  0,   0.163,   1.096,   0.304,   0.199,   1.084,   0.301,  51.000,  51.000,  71.000,   0.000,   0.000,   23,   0.000
19:35:59:405, 31796516285257,    5.394,    2.000,  800,   2.323,  17.543,   4.873,   0.866,   9.684,   2.690, 50,  0,   0.164,   1.113,   0.309,   0.257,   1.112,   0.309,  51.000,  51.000,  71.000,   0.000,   0.000,   10,   0.000
19:35:59:516, 31796715146596,    5.505,    4.000,  800,   3.162,  17.892,   4.970,   1.700,   9.872,   2.742, 50,  0,   0.239,   1.140,   0.317,   0.211,   1.135,   0.315,  51.000,  51.000,  71.000,   0.000,   0.000,    8,   0.000
19:35:59:627, 31796915456538,    5.616,    4.000,  800,   2.411,  18.160,   5.045,   0.983,   9.982,   2.773, 50,  0,   0.171,   1.159,   0.322,   0.213,   1.159,   0.322,  51.000,  51.000,  71.000,   0.000,   0.000,   23,   0.000
19:35:59:738, 31797115373509,    5.727,    1.000,  800,   2.235,  18.409,   5.113,   0.783,  10.069,   2.797, 50,  0,   0.164,   1.177,   0.327,   0.254,   1.187,   0.330,  51.000,  51.000,  71.000,   0.000,   0.000,    9,   0.000
19:35:59:834, 31797287177736,    5.823,    2.000,  800,   2.390,  18.637,   5.177,   0.977,  10.162,   2.823, 50,  0,   0.161,   1.192,   0.331,   0.213,   1.207,   0.335,  51.000,  51.000,  71.000,   0.000,   0.000,    9,   0.000
19:35:59:944, 31797485977657,    5.933,    4.000,  800,   2.324,  18.893,   5.248,   0.910,  10.262,   2.851, 50,  0,   0.167,   1.211,   0.336,   0.211,   1.231,   0.342,  51.000,  51.000,  71.000,   0.000,   0.000,   20,   0.000
19:36:00:053, 31797682127951,    6.042,    6.000, 1800,   3.188,  19.241,   5.345,   1.648,  10.442,   2.901, 50,  0,   0.282,   1.242,   0.345,   0.246,   1.258,   0.349,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
19:36:00:164, 31797882715116,    6.154,   12.000, 3800,   4.944,  19.792,   5.498,   3.476,  10.829,   3.008, 59,  0,   0.261,   1.271,   0.353,   0.222,   1.282,   0.356,  51.000,  51.000,  71.000,   0.000,   0.000,   13,   1.751
