System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
01:01:09:143, 334248613507838,    0.109,   12.000,  800,   6.969,   0.756,   0.210,   4.971,   0.539,   0.150, 71,  0,   0.517,   0.056,   0.016,   0.026,   0.003,   0.001,  51.000,  51.000,  71.000,   0.000,   0.000,    9,   0.486
01:01:09:253, 334248811563688,    0.219,    8.000,  800,   2.074,   0.984,   0.273,   0.532,   0.598,   0.166, 70,  0,   0.326,   0.092,   0.026,   0.013,   0.004,   0.001,  51.000,  51.000,  71.000,   0.000,   0.000,    5,   0.147
01:01:09:363, 334249009928824,    0.329,   67.000, 3700,  14.051,   2.533,   0.704,  12.346,   1.959,   0.544, 87,  0,   1.000,   0.202,   0.056,   0.045,   0.009,   0.003,  51.000,  51.000,  71.000,   0.000,   0.000,   10,   1.051
01:01:09:472, 334249205500812,    0.437,   66.000, 3700,  33.832,   6.209,   1.725,  31.257,   5.355,   1.487, 91,  0,   1.364,   0.350,   0.097,   0.006,   0.010,   0.003,  51.000,  51.000,  71.000,   0.000,   0.000,   45,   0.000
01:01:09:579, 334249398864978,    0.545,   38.000, 3600,  27.852,   9.201,   2.556,  25.748,   8.121,   2.256, 99,  0,   0.869,   0.444,   0.123,   0.010,   0.011,   0.003,  51.000,  51.000,  71.000,   0.000,   0.000,    2,   0.000
01:01:09:688, 334249593507383,    0.653,   48.000, 3700,  28.450,  12.277,   3.410,  26.399,  10.975,   3.049, 93,  0,   1.317,   0.586,   0.163,   0.033,   0.014,   0.004,  51.000,  51.000,  71.000,   0.000,   0.000,    5,   0.570
01:01:09:794, 334249785600799,    0.760,   79.000, 3700,  33.539,  15.857,   4.405,  31.379,  14.324,   3.979, 92,  0,   1.552,   0.752,   0.209,   0.015,   0.016,   0.004,  51.000,  51.000,  71.000,   0.000,   0.000,    6,   0.127
01:01:09:903, 334249980755526,    0.868,   70.000, 3600,  34.631,  19.611,   5.448,  32.583,  17.857,   4.960, 98,  0,   1.664,   0.932,   0.259,   0.017,   0.018,   0.005,  51.000,  51.000,  71.000,   0.000,   0.000,    4,   0.141
01:01:10:012, 334250177736841,    0.978,   73.000, 3400,  36.226,  23.576,   6.549,  33.588,  21.532,   5.981, 98,  0,   1.489,   1.095,   0.304,   0.006,   0.019,   0.005,  51.000,  51.000,  71.000,   0.000,   0.000,    6,   0.000
01:01:10:135, 334250399134288,    1.101,   53.000, 3700,  28.518,  27.083,   7.523,  26.125,  24.746,   6.874, 94,  0,   1.269,   1.251,   0.348,   0.007,   0.019,   0.005,  51.000,  51.000,  71.000,   0.000,   0.000,    2,   0.000
01:01:10:244, 334250594839294,    1.209,   59.000, 3400,  31.653,  30.525,   8.479,  29.099,  27.909,   7.753,100,  0,   1.420,   1.406,   0.390,   0.025,   0.022,   0.006,  51.000,  51.000,  71.000,   0.000,   0.000,    6,  12.357
01:01:10:373, 334250829584343,    1.340,   64.000, 3700,  31.783,  34.670,   9.630,  29.590,  31.768,   8.825, 97,  0,   1.394,   1.587,   0.441,   0.022,   0.025,   0.007,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.438
01:01:10:461, 334250985024815,    1.426,   47.000, 3400,  29.705,  37.235,  10.343,  27.454,  34.139,   9.483, 99,  0,   1.390,   1.707,   0.474,   0.020,   0.027,   0.007,  51.000,  51.000,  71.000,   0.000,   0.000,   26,   2.287
01:01:10:569, 334251179657953,    1.534,   53.000, 3500,  28.283,  40.293,  11.193,  25.769,  36.926,  10.257, 98,  0,   1.324,   1.851,   0.514,   0.008,   0.028,   0.008,  51.000,  51.000,  71.000,   0.000,   0.000,    4,   0.000
01:01:10:675, 334251371592174,    1.641,   64.000, 3600,  34.003,  43.919,  12.200,  31.651,  40.301,  11.195, 96,  0,   1.573,   2.018,   0.561,   0.010,   0.029,   0.008,  51.000,  51.000,  71.000,   0.000,   0.000,    2,   0.000
01:01:10:784, 334251567925989,    1.750,   52.000, 3700,  29.286,  47.113,  13.087,  26.811,  43.225,  12.007, 96,  0,   1.398,   2.171,   0.603,   0.045,   0.034,   0.009,  51.000,  51.000,  71.000,   0.000,   0.000,    6,   0.915
01:01:10:893, 334251762440188,    1.858,   74.000, 3400,  34.297,  50.820,  14.117,  31.742,  46.655,  12.960, 97,  0,   1.603,   2.344,   0.651,   0.019,   0.036,   0.010,  51.000,  51.000,  71.000,   0.000,   0.000,   74,   6.541
01:01:11:001, 334251956709598,    1.966,   56.000, 3500,  31.956,  54.268,  15.075,  29.550,  49.845,  13.846, 98,  0,   1.398,   2.495,   0.693,   0.011,   0.037,   0.010,  51.000,  51.000,  71.000,   0.000,   0.000,    2,   0.047
01:01:11:110, 334252153943763,    2.075,   96.000, 3100,  32.989,  57.883,  16.079,  30.293,  53.164,  14.768, 97,  0,   1.677,   2.679,   0.744,   0.009,   0.038,   0.010,  51.000,  51.000,  71.000,   0.000,   0.000,    8,   0.000
01:01:11:218, 334252348446511,    2.183,   64.000, 3500,  30.704,  61.201,  17.000,  28.144,  56.205,  15.613, 97,  0,   1.566,   2.848,   0.791,   0.060,   0.044,   0.012,  51.000,  51.000,  71.000,   0.000,   0.000,    7,   0.938
01:01:11:327, 334252545101378,    2.293,   68.000, 3100,  31.531,  64.646,  17.957,  28.849,  59.357,  16.488, 98,  0,   1.537,   3.016,   0.838,   0.209,   0.067,   0.019,  51.000,  51.000,  71.000,   0.000,   0.000,   50,   8.168
01:01:11:434, 334252736823302,    2.399,   54.000, 3600,  29.789,  67.819,  18.839,  27.074,  62.241,  17.289, 99,  0,   1.394,   3.164,   0.879,   0.175,   0.086,   0.024,  51.000,  51.000,  71.000,   0.000,   0.000,   49,   8.197
01:01:11:557, 334252958000933,    2.522,   51.000, 3400,  31.045,  71.634,  19.898,  28.374,  65.727,  18.258,100,  0,   1.478,   3.346,   0.929,   0.132,   0.102,   0.028,  51.000,  51.000,  71.000,   0.000,   0.000,   39,   6.254
01:01:11:665, 334253153163372,    2.631,   51.000, 3500,  28.670,  74.742,  20.762,  26.359,  68.585,  19.051, 98,  0,   1.300,   3.487,   0.969,   0.008,   0.103,   0.029,  51.000,  51.000,  71.000,   0.000,   0.000,   10,   0.000
01:01:11:774, 334253349393416,    2.740,   60.000, 3600,  28.453,  77.844,  21.623,  25.959,  71.415,  19.838, 97,  0,   1.386,   3.638,   1.011,   0.007,   0.104,   0.029,  51.000,  51.000,  71.000,   0.000,   0.000,    2,   0.000
01:01:11:882, 334253543931162,    2.848,   58.000, 3400,  30.333,  81.122,  22.534,  27.835,  74.423,  20.673, 99,  0,   1.443,   3.794,   1.054,   0.029,   0.107,   0.030,  51.000,  51.000,  71.000,   0.000,   0.000,    7,   0.689
01:01:11:990, 334253738501339,    2.956,   40.000, 3700,  27.994,  84.148,  23.374,  25.619,  77.193,  21.442, 95,  0,   1.238,   3.928,   1.091,   0.008,   0.108,   0.030,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
01:01:12:092, 334253923526142,    3.059,   64.000, 3700,  30.910,  87.325,  24.257,  28.274,  80.099,  22.250, 96,  0,   1.434,   4.075,   1.132,   0.110,   0.119,   0.033,  51.000,  51.000,  71.000,   0.000,   0.000,   14,   2.406
01:01:12:206, 334254126556247,    3.171,   55.000, 3700,  31.524,  90.881,  25.245,  28.673,  83.333,  23.148, 96,  0,   1.491,   4.243,   1.179,   0.291,   0.152,   0.042,  51.000,  51.000,  71.000,   0.000,   0.000,  155,  25.310
01:01:12:315, 334254322532670,    3.280,   43.000, 3200,  28.094,  93.940,  26.094,  25.611,  86.122,  23.923, 97,  0,   1.265,   4.381,   1.217,   0.012,   0.153,   0.043,  51.000,  51.000,  71.000,   0.000,   0.000,    6,   0.000
