System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
16:29:28:821, 13504683119160,    0.108,    8.000, 1900,   6.813,   0.738,   0.205,   4.877,   0.528,   0.147, 60,  0,   0.745,   0.081,   0.022,   0.330,   0.036,   0.010,  51.000,  51.000,  71.000,   0.000,   0.000,   76,  14.202
16:29:28:930, 13504879275871,    0.217,   16.000, 1900,   4.152,   1.190,   0.331,   2.278,   0.776,   0.216, 60,  0,   0.715,   0.159,   0.044,   0.287,   0.067,   0.019,  51.000,  51.000,  71.000,   0.000,   0.000,   80,  14.506
16:29:29:040, 13505076461107,    0.327,   13.000, 3500,   8.021,   2.069,   0.575,   6.065,   1.441,   0.400, 60,  0,   0.761,   0.242,   0.067,   0.335,   0.104,   0.029,  51.000,  51.000,  71.000,   0.000,   0.000,   82,  15.219
16:29:29:148, 13505270866782,    0.435,   12.000, 3200,   8.472,   2.984,   0.829,   6.574,   2.151,   0.597, 60,  0,   0.745,   0.322,   0.090,   0.296,   0.136,   0.038,  51.000,  51.000,  71.000,   0.000,   0.000,   81,  15.264
16:29:29:258, 13505470427693,    0.546,    9.000, 2900,   6.667,   3.723,   1.034,   4.826,   2.686,   0.746, 59,  0,   0.756,   0.406,   0.113,   0.318,   0.171,   0.047,  51.000,  51.000,  71.000,   0.000,   0.000,   77,  14.312
16:29:29:369, 13505669816890,    0.656,    9.000,  800,   4.533,   4.225,   1.174,   2.780,   2.994,   0.832, 58,  0,   0.633,   0.476,   0.132,   0.160,   0.189,   0.052,  51.000,  51.000,  71.000,   0.000,   0.000,   56,   9.677
16:29:29:478, 13505866019551,    0.765,   12.000, 3200,   2.555,   4.504,   1.251,   1.252,   3.130,   0.869, 58,  0,   0.331,   0.513,   0.142,   0.018,   0.191,   0.053,  51.000,  51.000,  71.000,   0.000,   0.000,    7,   0.391
16:29:29:590, 13506066671736,    0.877,    5.000,  800,   1.807,   4.705,   1.307,   0.552,   3.192,   0.887, 58,  0,   0.320,   0.548,   0.152,   0.005,   0.191,   0.053,  51.000,  51.000,  71.000,   0.000,   0.000,   10,   0.000
16:29:29:700, 13506265196805,    0.987,   10.000,  800,   5.146,   5.273,   1.465,   3.649,   3.594,   0.998, 58,  0,   0.384,   0.591,   0.164,   0.006,   0.192,   0.053,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
16:29:29:809, 13506461861758,    1.096,    8.000,  800,   1.706,   5.459,   1.516,   0.471,   3.646,   1.013, 57,  0,   0.318,   0.625,   0.174,   0.003,   0.192,   0.053,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
