System Time,RDTSC,Elapsed Time (sec), CPU Utilization,CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
20:33:14:918,3.05E+14,31.967,20,3700,16.521,363.749,101.041,15.199,317.549,88.208,84,0,0.233,7.551,2.098,0.033,2.818,0.783,51,51,71,0,0,10,1.329
20:33:15:028,3.05E+14,32.078,14,3700,13.081,365.192,101.442,11.765,318.847,88.569,79,0,0.177,7.571,2.103,0.002,2.818,0.783,51,51,71,0,0,1,0
20:33:15:139,3.05E+14,32.189,12,3700,12.986,366.637,101.844,11.542,320.132,88.926,84,0,0.158,7.588,2.108,0.005,2.819,0.783,51,51,71,0,0,119,0
20:33:15:250,3.05E+14,32.299,12,3700,12.69,368.036,102.232,11.463,321.396,89.277,83,0,0.161,7.606,2.113,0.008,2.819,0.783,51,51,71,0,0,1,0
20:33:15:360,3.05E+14,32.41,12,3700,12.921,369.465,102.629,11.402,322.657,89.627,84,0,0.156,7.623,2.118,0.008,2.82,0.783,51,51,71,0,0,1,0
20:33:15:471,3.05E+14,32.521,12,3700,12.552,370.859,103.016,11.298,323.911,89.975,79,0,0.152,7.64,2.122,0.003,2.821,0.784,51,51,71,0,0,1,0
20:33:15:582,3.05E+14,32.632,13,3700,12.736,372.276,103.41,11.516,325.193,90.331,83,0,0.173,7.659,2.128,0.005,2.821,0.784,51,51,71,0,0,1,0
20:33:15:694,3.05E+14,32.744,12,3700,12.697,373.691,103.803,11.463,326.47,90.686,84,0,0.157,7.677,2.132,0.002,2.821,0.784,51,51,71,0,0,1,0
20:33:15:804,3.05E+14,32.853,13,3700,13.065,375.126,104.202,11.795,327.766,91.046,78,0,0.176,7.696,2.138,0.006,2.822,0.784,51,51,71,0,0,0,0
20:33:15:914,3.05E+14,32.964,17,3700,14.674,376.745,104.651,13.277,329.23,91.453,80,0,0.237,7.722,2.145,0.038,2.826,0.785,51,51,71,0,0,11,1.537
20:33:16:024,3.05E+14,33.074,14,3700,12.931,378.172,105.048,11.71,330.523,91.812,78,0,0.176,7.742,2.151,0.003,2.827,0.785,51,51,71,0,0,1,0
20:33:16:133,3.05E+14,33.183,12,3700,12.633,379.548,105.43,11.381,331.762,92.156,81,0,0.159,7.759,2.155,0.005,2.827,0.785,51,51,71,0,0,116,0
20:33:16:243,3.05E+14,33.293,12,3700,12.694,380.944,105.818,11.448,333.021,92.506,84,0,0.159,7.777,2.16,0.003,2.828,0.785,51,51,71,0,0,1,0
20:33:16:354,3.05E+14,33.404,13,3700,12.689,382.355,106.21,11.437,334.293,92.859,80,0,0.164,7.795,2.165,0.005,2.828,0.786,51,51,71,0,0,1,0
20:33:16:464,3.05E+14,33.513,13,3700,12.895,383.763,106.601,11.464,335.544,93.207,83,0,0.157,7.812,2.17,0.003,2.828,0.786,51,51,71,0,0,1,0
20:33:16:573,3.05E+14,33.623,13,3700,12.976,385.182,106.995,11.611,336.814,93.56,87,0,0.175,7.831,2.175,0.008,2.829,0.786,51,51,71,0,0,1,0
20:33:16:683,3.05E+14,33.733,12,3700,12.486,386.559,107.378,11.286,338.059,93.905,89,0,0.152,7.848,2.18,0.005,2.83,0.786,51,51,71,0,0,0,0
20:33:16:794,3.05E+14,33.843,15,3700,13.003,387.996,107.777,11.78,339.361,94.267,82,0,0.184,7.868,2.186,0.004,2.83,0.786,51,51,71,0,0,103,0
20:33:16:903,3.05E+14,33.952,17,3700,14.773,389.606,108.224,13.452,340.827,94.674,85,0,0.237,7.894,2.193,0.039,2.835,0.787,51,51,71,0,0,5,0.716
20:33:17:013,3.05E+14,34.063,17,3700,15.173,391.276,108.688,13.824,342.349,95.097,84,0,0.165,7.912,2.198,0.004,2.835,0.788,51,51,71,0,0,147,0
20:33:17:122,3.05E+14,34.172,25,3700,19.278,393.384,109.273,17.529,344.265,95.629,83,0,0.749,7.994,2.221,0.003,2.835,0.788,51,51,71,0,0,0,0
20:33:17:232,3.05E+14,34.281,15,3700,14.514,394.97,109.714,13.049,345.691,96.025,81,0,0.192,8.015,2.226,0.005,2.836,0.788,51,51,71,0,0,118,0
20:33:17:342,3.05E+14,34.392,13,3700,12.817,396.385,110.107,11.499,346.961,96.378,84,0,0.165,8.033,2.231,0.006,2.837,0.788,51,51,71,0,0,1,0
20:33:17:451,3.05E+14,34.501,12,3700,12.904,397.794,110.498,11.445,348.21,96.725,85,0,0.154,8.05,2.236,0.007,2.837,0.788,51,51,71,0,0,1,0
20:33:17:561,3.05E+14,34.61,13,3700,12.764,399.191,110.886,11.36,349.453,97.07,87,0,0.165,8.068,2.241,0.007,2.838,0.788,51,51,71,0,0,1,0
20:33:17:670,3.05E+14,34.72,13,3700,12.744,400.584,111.273,11.4,350.7,97.417,83,0,0.171,8.087,2.246,0.007,2.839,0.789,51,51,71,0,0,1,0
20:33:17:779,3.05E+14,34.829,14,3700,13.519,402.063,111.684,12.215,352.036,97.788,84,0,0.235,8.112,2.253,0.004,2.839,0.789,51,51,71,0,0,1,0
20:33:17:888,3.05E+14,34.938,18,3700,15,403.701,112.139,13.487,353.508,98.197,85,0,0.25,8.14,2.261,0.029,2.842,0.79,51,51,71,0,0,4,0.586
20:33:18:000,3.05E+14,35.049,14,3700,13.182,405.169,112.547,11.937,354.838,98.566,89,0,0.209,8.163,2.268,0.005,2.843,0.79,51,51,71,0,0,1,0
20:33:18:109,3.05E+14,35.158,13,3700,12.843,406.566,112.935,11.561,356.095,98.915,83,0,0.161,8.181,2.272,0.006,2.844,0.79,51,51,71,0,0,1,0
20:33:18:217,3.05E+14,35.266,14,3700,13.196,407.995,113.332,11.831,357.376,99.271,83,0,0.184,8.201,2.278,0.003,2.844,0.79,51,51,71,0,0,1,0
20:33:18:326,3.05E+14,35.376,13,3700,13.091,409.427,113.73,11.669,358.653,99.626,81,0,0.175,8.22,2.283,0.005,2.845,0.79,51,51,71,0,0,1,0
20:33:18:435,3.05E+14,35.485,13,3700,13.111,410.859,114.128,11.889,359.952,99.987,80,0,0.181,8.239,2.289,0.003,2.845,0.79,51,51,71,0,0,107,0
20:33:18:546,3.05E+14,35.595,12,3700,12.588,412.248,114.513,11.332,361.202,100.334,80,0,0.162,8.257,2.294,0.004,2.845,0.79,51,51,71,0,0,1,0
20:33:18:656,3.05E+14,35.706,13,3700,12.591,413.637,114.899,11.276,362.446,100.679,81,0,0.158,8.275,2.299,0.008,2.846,0.791,51,51,71,0,0,1,0
20:33:18:765,3.05E+14,35.815,13,3700,13.075,415.067,115.296,11.879,363.745,101.04,82,0,0.182,8.295,2.304,0.007,2.847,0.791,51,51,71,0,0,1,0
20:33:18:875,3.05E+14,35.925,19,3700,14.757,416.682,115.745,13.431,365.215,101.449,80,0,0.244,8.321,2.311,0.033,2.851,0.792,51,51,71,0,0,4,0.627
20:33:18:984,3.05E+14,36.034,17,3700,14.549,418.269,116.186,13.203,366.656,101.849,80,0,0.222,8.346,2.318,0.005,2.851,0.792,51,51,71,0,0,120,0
20:33:19:093,3.05E+14,36.143,15,3800,14.44,419.85,116.625,12.932,368.071,102.242,89,0,0.17,8.364,2.323,0.005,2.852,0.792,51,51,71,0,0,0,0
20:33:19:203,3.05E+14,36.253,13,3700,13.103,421.286,117.024,11.567,369.338,102.594,84,0,0.172,8.383,2.329,0.007,2.852,0.792,51,51,71,0,0,129,0
20:33:19:313,3.05E+14,36.362,12,3700,12.855,422.695,117.415,11.663,370.617,102.949,85,0,0.152,8.4,2.333,0.007,2.853,0.793,51,51,71,0,0,0,0
20:33:19:422,3.05E+14,36.472,12,3700,12.664,424.08,117.8,11.34,371.857,103.294,82,0,0.163,8.417,2.338,0.007,2.854,0.793,51,51,71,0,0,103,0
20:33:19:532,3.05E+14,36.582,12,3800,12.372,425.446,118.179,11.174,373.091,103.636,80,0,0.156,8.435,2.343,0.002,2.854,0.793,51,51,71,0,0,0,0
20:33:19:642,3.05E+14,36.691,12,3700,12.779,426.843,118.568,11.524,374.351,103.986,81,0,0.151,8.451,2.348,0.007,2.855,0.793,51,51,71,0,0,115,0
20:33:19:751,3.05E+14,36.801,13,3700,13.166,428.283,118.967,11.83,375.645,104.346,84,0,0.175,8.47,2.353,0.008,2.856,0.793,51,51,71,0,0,1,0
20:33:19:860,3.05E+14,36.91,21,3800,14.923,429.913,119.42,13.638,377.135,104.76,83,0,0.236,8.496,2.36,0.025,2.858,0.794,51,51,71,0,0,5,0.666
20:33:19:970,3.05E+14,37.019,12,3700,12.599,431.289,119.803,11.372,378.377,105.105,84,0,0.175,8.515,2.365,0.003,2.859,0.794,51,51,71,0,0,118,0
20:33:20:080,3.05E+14,37.13,13,3700,12.689,432.69,120.192,11.369,379.632,105.453,85,0,0.16,8.533,2.37,0.007,2.86,0.794,51,51,71,0,0,0,0
20:33:20:189,3.05E+14,37.239,17,3700,13.872,434.205,120.613,12.597,381.008,105.835,84,0,0.225,8.558,2.377,0.007,2.86,0.795,51,51,71,0,0,106,0
20:33:20:299,3.05E+14,37.348,13,3700,12.894,435.616,121.004,11.647,382.282,106.189,85,0,0.179,8.577,2.383,0.005,2.861,0.795,51,51,71,0,0,1,0
20:33:20:409,3.05E+14,37.459,13,3700,13.291,437.083,121.412,11.741,383.578,106.549,85,0,0.169,8.596,2.388,0.008,2.862,0.795,51,51,71,0,0,0,0
20:33:20:519,3.05E+14,37.569,13,3800,13.095,438.521,121.811,11.834,384.877,106.91,84,0,0.168,8.614,2.393,0.004,2.862,0.795,51,51,71,0,0,119,0
20:33:20:628,3.05E+14,37.678,12,3700,12.892,439.931,122.203,11.442,386.129,107.258,85,0,0.158,8.632,2.398,0.008,2.863,0.795,51,51,71,0,0,1,0
20:33:20:738,3.05E+14,37.787,12,3700,12.64,441.312,122.587,11.429,387.377,107.605,85,0,0.15,8.648,2.402,0.004,2.864,0.795,51,51,71,0,0,1,0
20:33:20:853,3.05E+14,37.903,28,3800,15.049,443.055,123.071,13.742,388.969,108.047,81,0,0.249,8.677,2.41,0.033,2.867,0.796,51,51,71,0,0,4,0.661
20:33:20:958,3.05E+14,38.008,13,3700,12.844,444.399,123.444,11.563,390.179,108.383,80,0,0.196,8.697,2.416,0.01,2.868,0.797,51,51,71,0,0,3,0.254
20:33:21:067,3.05E+14,38.117,18,3700,15.202,446.055,123.904,13.944,391.698,108.805,80,0,0.171,8.716,2.421,0.004,2.869,0.797,51,51,71,0,0,139,0
20:33:21:176,3.05E+14,38.226,12,3700,12.8,447.455,124.293,11.495,392.955,109.154,85,0,0.162,8.734,2.426,0.006,2.87,0.797,51,51,71,0,0,1,0
20:33:21:286,3.05E+14,38.336,12,3800,12.521,448.833,124.676,11.257,394.194,109.498,80,0,0.15,8.75,2.431,0.003,2.87,0.797,51,51,71,0,0,1,0
20:33:21:397,3.05E+14,38.446,13,3700,12.864,450.251,125.07,11.606,395.474,109.854,82,0,0.17,8.769,2.436,0.003,2.87,0.797,51,51,71,0,0,1,0
20:33:21:505,3.05E+14,38.555,12,3700,12.681,451.627,125.452,11.36,396.706,110.196,83,0,0.155,8.786,2.44,0.006,2.871,0.797,51,51,71,0,0,0,0
20:33:21:614,3.05E+14,38.663,12,3700,12.887,453.026,125.841,11.705,397.977,110.549,81,0,0.166,8.804,2.445,0.003,2.871,0.798,51,51,71,0,0,107,0
20:33:21:724,3.05E+14,38.774,12,3700,12.679,454.427,126.23,11.338,399.23,110.897,87,0,0.153,8.82,2.45,0.003,2.872,0.798,51,51,71,0,0,1,0
20:33:21:847,3.05E+14,38.898,29,3700,14.671,456.243,126.734,13.507,400.902,111.362,79,0,0.216,8.847,2.458,0.013,2.873,0.798,51,51,71,0,0,3,0.379
20:33:21:942,3.05E+14,38.991,13,3700,13.278,457.488,127.08,11.669,401.996,111.666,82,0,0.221,8.868,2.463,0.023,2.875,0.799,51,51,71,0,0,7,0.911
20:33:22:050,3.05E+14,39.1,14,3700,13.523,458.956,127.488,12.229,403.323,112.034,88,0,0.182,8.888,2.469,0.004,2.876,0.799,51,51,71,0,0,148,0
20:33:22:159,3.05E+14,39.209,12,3700,15.021,460.595,127.943,13.737,404.822,112.451,92,0,0.168,8.906,2.474,0.006,2.877,0.799,51,51,71,0,0,1,0
20:33:22:269,3.05E+14,39.318,12,3700,15.018,462.236,128.399,13.791,406.329,112.869,93,0,0.153,8.923,2.479,0.008,2.878,0.799,51,51,71,0,0,1,0
20:33:22:378,3.05E+14,39.428,12,3700,15.383,463.92,128.867,14.072,407.87,113.297,94,0,0.167,8.941,2.484,0.003,2.878,0.799,51,51,71,0,0,1,0
20:33:22:488,3.05E+14,39.538,13,3700,15.5,465.628,129.341,14.231,409.438,113.733,86,0,0.168,8.96,2.489,0.007,2.879,0.8,51,51,71,0,0,1,0
20:33:22:598,3.05E+14,39.647,12,3700,14.91,467.258,129.794,13.693,410.935,114.149,93,0,0.162,8.977,2.494,0.004,2.879,0.8,51,51,71,0,0,1,0
20:33:22:706,3.05E+14,39.756,12,3700,15.303,468.915,130.254,13.943,412.445,114.568,93,0,0.156,8.994,2.498,0.01,2.88,0.8,51,51,71,0,0,1,0
20:33:22:839,3.05E+14,39.889,26,3800,16.771,471.158,130.877,15.573,414.527,115.147,87,0,0.207,9.022,2.506,0.016,2.882,0.801,51,51,71,0,0,2,0.354
20:33:22:924,3.05E+14,39.974,13,3700,15.859,472.501,131.25,14.226,415.732,115.481,85,0,0.213,9.04,2.511,0.02,2.884,0.801,51,51,71,0,0,23,2.186
20:33:23:033,3.05E+14,40.083,13,3700,15.507,474.193,131.72,14.019,417.262,115.906,88,0,0.181,9.06,2.517,0.008,2.885,0.801,51,51,71,0,0,1,0
20:33:23:143,3.05E+14,40.192,17,3700,17.241,476.078,132.244,15.822,418.992,116.387,89,0,0.186,9.08,2.522,0.002,2.885,0.801,51,51,71,0,0,1,0
20:33:23:251,3.05E+14,40.301,13,3700,15.581,477.769,132.714,14.038,420.515,116.81,92,0,0.218,9.104,2.529,0.006,2.886,0.802,51,51,71,0,0,1,0
20:33:23:360,3.05E+14,40.41,12,3700,15.081,479.414,133.171,13.764,422.017,117.227,93,0,0.152,9.12,2.533,0.006,2.886,0.802,51,51,71,0,0,1,0
20:33:23:471,3.05E+14,40.52,13,3700,15.705,481.149,133.653,14.275,423.594,117.665,87,0,0.243,9.147,2.541,0.007,2.887,0.802,51,51,71,0,0,1,0
20:33:23:579,3.05E+14,40.629,12,3700,15.252,482.798,134.111,13.832,425.089,118.08,93,0,0.159,9.164,2.546,0.004,2.887,0.802,51,51,71,0,0,1,0
20:33:23:688,3.05E+14,40.738,14,3700,15.81,484.528,134.591,14.597,426.687,118.524,90,0,0.17,9.183,2.551,0.007,2.888,0.802,51,51,71,0,0,1,0
20:33:23:798,3.05E+14,40.847,13,3700,15.457,486.215,135.06,14.019,428.217,118.949,93,0,0.169,9.201,2.556,0.007,2.889,0.802,51,51,71,0,0,1,0
20:33:23:907,3.05E+14,40.957,16,3800,16.889,488.066,135.574,15.473,429.912,119.42,93,0,0.227,9.226,2.563,0.037,2.893,0.804,51,51,71,0,0,4,0.542
20:33:24:016,3.05E+14,41.065,12,3700,15.225,489.721,136.034,13.865,431.42,119.839,87,0,0.172,9.245,2.568,0.008,2.894,0.804,51,51,71,0,0,115,0
20:33:24:125,3.05E+14,41.175,12,3700,15.139,491.376,136.493,13.781,432.926,120.257,85,0,0.161,9.263,2.573,0.009,2.895,0.804,51,51,71,0,0,0,0
20:33:24:234,3.05E+14,41.284,12,3700,15.032,493.019,136.95,13.795,434.434,120.676,94,0,0.167,9.281,2.578,0.004,2.895,0.804,51,51,71,0,0,123,0
20:33:24:344,3.05E+14,41.393,15,3700,16.518,494.825,137.451,15.255,436.101,121.139,95,0,0.236,9.307,2.585,0.007,2.896,0.805,51,51,71,0,0,1,0
20:33:24:454,3.05E+14,41.504,13,3700,15.597,496.543,137.929,14.31,437.678,121.577,95,0,0.168,9.325,2.59,0.004,2.897,0.805,51,51,71,0,0,1,0
20:33:24:563,3.05E+14,41.613,12,3700,15.318,498.219,138.394,13.988,439.208,122.002,83,0,0.173,9.344,2.596,0.008,2.898,0.805,51,51,71,0,0,1,0
20:33:24:673,3.05E+14,41.722,12,3700,14.95,499.851,138.848,13.492,440.681,122.411,97,0,0.154,9.361,2.6,0.01,2.899,0.805,51,51,71,0,0,1,0
20:33:24:782,3.05E+14,41.832,13,3700,15.367,501.534,139.315,14.035,442.218,122.838,90,0,0.181,9.381,2.606,0.006,2.899,0.805,51,51,71,0,0,1,0
20:33:24:890,3.05E+14,41.94,16,3700,16.847,503.356,139.821,15.542,443.899,123.305,98,0,0.239,9.406,2.613,0.029,2.902,0.806,51,51,71,0,0,4,0.555
20:33:25:000,3.05E+14,42.049,12,3700,15.087,505.006,140.279,13.879,445.417,123.727,93,0,0.154,9.423,2.618,0.006,2.903,0.806,51,51,71,0,0,140,0
20:33:25:109,3.05E+14,42.159,14,3700,15.925,506.747,140.763,14.404,446.992,124.164,91,0,0.195,9.445,2.624,0.008,2.904,0.807,51,51,71,0,0,1,0
20:33:25:218,3.05E+14,42.267,16,3700,17.453,508.648,141.291,16.002,448.735,124.649,93,0,0.183,9.465,2.629,0.003,2.904,0.807,51,51,71,0,0,1,0
20:33:25:326,3.05E+14,42.376,13,3700,15.694,510.349,141.764,14.085,450.261,125.072,86,0,0.168,9.483,2.634,0.007,2.905,0.807,51,51,71,0,0,1,0
20:33:25:436,3.05E+14,42.486,13,3700,15.382,512.044,142.235,13.996,451.804,125.501,94,0,0.163,9.501,2.639,0.004,2.906,0.807,51,51,71,0,0,1,0
20:33:25:546,3.05E+14,42.595,12,3700,15.425,513.731,142.703,13.956,453.33,125.925,89,0,0.175,9.52,2.644,0.004,2.906,0.807,51,51,71,0,0,1,0
20:33:25:656,3.05E+14,42.706,13,3600,14.786,515.362,143.156,13.385,454.806,126.335,97,0,0.184,9.54,2.65,0.006,2.907,0.807,51,51,71,0,0,1,0
20:33:25:765,3.05E+14,42.815,13,3800,15.213,517.027,143.619,14.004,456.339,126.761,89,0,0.175,9.559,2.655,0.004,2.907,0.808,51,51,71,0,0,1,0
20:33:25:875,3.05E+14,42.924,18,3700,16.728,518.856,144.127,15.458,458.029,127.23,89,0,0.222,9.584,2.662,0.027,2.91,0.808,51,51,71,0,0,4,0.568
20:33:25:984,3.05E+14,43.034,12,3700,15.415,520.539,144.594,13.909,459.548,127.652,97,0,0.159,9.601,2.667,0.003,2.911,0.808,51,51,71,0,0,154,0
20:33:26:093,3.05E+14,43.143,13,3700,15.179,522.198,145.055,13.656,461.04,128.067,97,0,0.169,9.62,2.672,0.006,2.911,0.809,51,51,71,0,0,1,0
20:33:26:203,3.05E+14,43.252,12,3700,15.024,523.84,145.511,13.646,462.531,128.481,94,0,0.167,9.638,2.677,0.006,2.912,0.809,51,51,71,0,0,1,0
20:33:26:311,3.05E+14,43.361,13,3700,14.964,525.462,145.962,13.523,463.997,128.888,92,0,0.179,9.657,2.683,0.006,2.912,0.809,51,51,71,0,0,1,0
20:33:26:421,3.05E+14,43.47,12,3700,14.811,527.09,146.414,13.424,465.472,129.298,93,0,0.151,9.674,2.687,0.004,2.913,0.809,51,51,71,0,0,1,0
20:33:26:531,3.05E+14,43.581,12,3700,15.378,528.788,146.886,14.078,467.027,129.73,95,0,0.169,9.692,2.692,0.004,2.913,0.809,51,51,71,0,0,1,0
20:33:26:642,3.05E+14,43.691,13,3700,15.698,530.518,147.366,14.417,468.616,130.171,90,0,0.185,9.713,2.698,0.005,2.914,0.809,51,51,71,0,0,1,0
20:33:26:750,3.05E+14,43.8,12,3700,15.104,532.155,147.821,13.756,470.107,130.585,90,0,0.159,9.73,2.703,0.005,2.914,0.81,51,51,71,0,0,1,0
20:33:26:859,3.05E+14,43.909,20,3700,17.098,534.025,148.34,15.75,471.829,131.064,91,0,0.271,9.76,2.711,0.026,2.917,0.81,51,51,71,0,0,4,0.492
20:33:26:969,3.05E+14,44.019,12,3700,15.423,535.725,148.812,14.025,473.375,131.493,93,0,0.166,9.778,2.716,0.003,2.918,0.81,51,51,71,0,0,123,0
20:33:27:080,3.05E+14,44.13,14,3700,16.375,537.533,149.315,15.152,475.049,131.958,86,0,0.202,9.8,2.722,0.005,2.918,0.811,51,51,71,0,0,0,0
20:33:27:189,3.05E+14,44.239,17,3700,17.92,539.491,149.859,16.538,476.856,132.46,92,0,0.215,9.824,2.729,0.006,2.919,0.811,51,51,71,0,0,131,0
20:33:27:298,3.05E+14,44.348,12,3700,15.067,541.138,150.316,13.83,478.368,132.88,94,0,0.152,9.84,2.733,0.005,2.919,0.811,51,51,71,0,0,1,0
20:33:27:410,3.05E+14,44.46,12,3700,15.476,542.863,150.795,13.945,479.921,133.311,95,0,0.165,9.859,2.739,0.007,2.92,0.811,51,51,71,0,0,1,0
20:33:27:519,3.05E+14,44.568,12,3700,15.149,544.513,151.254,13.975,481.443,133.734,94,0,0.159,9.876,2.743,0.008,2.921,0.811,51,51,71,0,0,1,0
20:33:27:628,3.05E+14,44.678,12,3600,15.045,546.159,151.711,13.71,482.944,134.151,98,0,0.159,9.893,2.748,0.003,2.921,0.811,51,51,71,0,0,1,0
20:33:27:737,3.05E+14,44.787,13,3600,14.469,547.739,152.15,13.227,484.388,134.552,97,0,0.168,9.912,2.753,0.004,2.922,0.812,51,51,71,0,0,1,0
20:33:27:848,3.05E+14,44.898,22,3700,17.04,549.621,152.672,15.605,486.111,135.031,86,0,0.215,9.936,2.76,0.027,2.925,0.812,51,51,71,0,0,4,0.596
20:33:27:956,3.05E+14,45.006,12,3700,15.267,551.275,153.132,13.892,487.616,135.449,95,0,0.181,9.955,2.765,0.007,2.925,0.813,51,51,71,0,0,129,0
20:33:28:064,3.05E+14,45.114,12,3700,15.368,552.937,153.594,14.116,489.143,135.873,95,0,0.152,9.972,2.77,0.008,2.926,0.813,51,51,71,0,0,1,0
20:33:28:174,3.05E+14,45.223,12,3700,15.01,554.579,154.05,13.796,490.652,136.292,91,0,0.157,9.989,2.775,0.006,2.927,0.813,51,51,71,0,0,1,0
20:33:28:283,3.05E+14,45.333,13,3700,15.098,556.228,154.508,13.796,492.159,136.711,95,0,0.169,10.007,2.78,0.004,2.927,0.813,51,51,71,0,0,1,0
20:33:28:392,3.05E+14,45.442,13,3700,15.514,557.925,154.979,14.166,493.709,137.141,94,0,0.212,10.031,2.786,0.003,2.928,0.813,51,51,71,0,0,1,0
20:33:28:502,3.05E+14,45.551,13,3700,15.288,559.596,155.443,14.055,495.244,137.568,94,0,0.179,10.05,2.792,0.007,2.929,0.813,51,51,71,0,0,1,0
20:33:28:613,3.05E+14,45.663,12,3800,15.048,561.271,155.909,13.676,496.767,137.991,92,0,0.162,10.068,2.797,0.007,2.929,0.814,51,51,71,0,0,1,0
20:33:28:722,3.05E+14,45.772,17,3700,16.926,563.116,156.421,15.419,498.447,138.458,94,0,0.242,10.094,2.804,0.006,2.93,0.814,51,51,71,0,0,1,0
20:33:28:840,3.05E+14,45.89,25,3700,17.4,565.176,156.993,16.174,500.363,138.99,89,0,0.215,10.12,2.811,0.022,2.933,0.815,51,51,71,0,0,3,0.363
20:33:28:939,3.05E+14,45.989,13,3700,15.776,566.742,157.428,14.429,501.795,139.387,94,0,0.261,10.146,2.818,0.014,2.934,0.815,51,51,71,0,0,25,2.523
20:33:29:049,3.05E+14,46.099,12,3700,15.142,568.397,157.888,13.908,503.315,139.81,95,0,0.157,10.163,2.823,0.003,2.934,0.815,51,51,71,0,0,1,0
20:33:29:158,3.05E+14,46.208,12,3700,15.211,570.057,158.349,13.832,504.824,140.229,89,0,0.159,10.18,2.828,0.005,2.935,0.815,51,51,71,0,0,1,0
20:33:29:268,3.05E+14,46.318,16,3800,17.543,571.986,158.885,16.087,506.593,140.72,94,0,0.181,10.2,2.833,0.008,2.936,0.815,51,51,71,0,0,1,0
20:33:29:377,3.05E+14,46.427,12,3700,15.024,573.626,159.34,13.76,508.095,141.138,90,0,0.153,10.217,2.838,0.006,2.936,0.816,51,51,71,0,0,1,0
20:33:29:484,3.05E+14,46.534,14,3700,15.918,575.334,159.815,14.447,509.646,141.568,91,0,0.206,10.239,2.844,0.007,2.937,0.816,51,51,71,0,0,1,0
20:33:29:594,3.05E+14,46.644,12,3700,15.063,576.982,160.273,13.806,511.156,141.988,93,0,0.155,10.256,2.849,0.003,2.938,0.816,51,51,71,0,0,1,0
20:33:29:703,3.05E+14,46.753,12,3700,15.212,578.648,160.736,13.907,512.679,142.411,95,0,0.155,10.273,2.854,0.006,2.938,0.816,51,51,71,0,0,2,0
20:33:29:837,3.05E+14,46.887,25,3800,16.79,580.905,161.362,15.553,514.77,142.992,95,0,0.207,10.301,2.861,0.017,2.941,0.817,51,51,71,0,0,2,0.363
20:33:29:922,3.05E+14,46.972,13,3700,15.407,582.211,161.725,14.046,515.96,143.322,95,0,0.203,10.318,2.866,0.014,2.942,0.817,51,51,71,0,0,22,2.118
20:33:30:032,3.05E+14,47.081,12,3700,15.352,583.885,162.19,14.097,517.498,143.749,95,0,0.16,10.336,2.871,0.004,2.942,0.817,51,51,71,0,0,1,0
20:33:30:140,3.05E+14,47.19,12,3700,15.482,585.562,162.656,13.916,519.005,144.168,88,0,0.156,10.353,2.876,0.003,2.943,0.817,51,51,71,0,0,1,0
20:33:30:250,3.05E+14,47.3,12,3700,15.232,587.243,163.123,14.004,520.55,144.597,95,0,0.168,10.371,2.881,0.003,2.943,0.817,51,51,71,0,0,1,0
20:33:30:360,3.05E+14,47.409,13,3700,15.219,588.907,163.585,14.018,522.083,145.023,95,0,0.171,10.39,2.886,0.008,2.944,0.818,51,51,71,0,0,1,0
20:33:30:470,3.05E+14,47.52,13,3700,15.682,590.638,164.066,14.338,523.666,145.463,90,0,0.169,10.408,2.891,0.005,2.944,0.818,51,51,71,0,0,1,0
20:33:30:579,3.05E+14,47.629,12,3700,15.308,592.312,164.531,14.047,525.202,145.889,95,0,0.169,10.427,2.896,0.004,2.945,0.818,51,51,71,0,0,1,0
20:33:30:689,3.05E+14,47.738,17,3700,17.779,594.256,165.071,16.302,526.985,146.385,90,0,0.507,10.482,2.912,0.004,2.945,0.818,51,51,71,0,0,1,0
20:33:30:798,3.05E+14,47.848,20,3700,19.878,596.427,165.674,18.308,528.984,146.94,98,0,0.467,10.533,2.926,0.006,2.946,0.818,51,51,71,0,0,1,0
20:33:30:907,3.05E+14,47.957,16,3700,17.038,598.292,166.192,15.655,530.698,147.416,89,0,0.254,10.561,2.934,0.033,2.95,0.819,51,51,71,0,0,4,0.549
20:33:31:017,3.05E+14,48.066,12,3700,15.102,599.941,166.65,13.846,532.21,147.836,91,0,0.158,10.578,2.938,0.004,2.95,0.819,51,51,71,0,0,138,0
20:33:31:125,3.05E+14,48.174,12,3700,15.16,601.578,167.105,13.907,533.711,148.253,95,0,0.165,10.596,2.943,0.006,2.951,0.82,51,51,71,0,0,1,0
20:33:31:233,3.05E+14,48.283,13,3700,15.309,603.236,167.566,13.945,535.221,148.673,95,0,0.165,10.614,2.948,0.003,2.951,0.82,51,51,71,0,0,1,0
20:33:31:342,3.05E+14,48.392,20,3700,18.843,605.296,168.138,17.605,537.146,149.207,95,0,0.225,10.639,2.955,0.003,2.951,0.82,51,51,71,0,0,1,0
