System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:04:38:951, 443564918221,    0.109,    5.000,  800,   2.771,   0.301,   0.084,   1.353,   0.147,   0.041, 59,  0,   0.326,   0.035,   0.010,   0.016,   0.002,   0.000,  51.000,  51.000,  71.000,   0.000,   0.000,    9,   0.221
21:04:39:060, 443762305713,    0.218,    5.000,  800,   2.428,   0.567,   0.158,   0.933,   0.249,   0.069, 59,  0,   0.323,   0.071,   0.020,   0.041,   0.006,   0.002,  51.000,  51.000,  71.000,   0.000,   0.000,   10,   0.166
21:04:39:168, 443955762754,    0.326,    9.000, 2500,   8.489,   1.480,   0.411,   7.223,   1.026,   0.285, 60,  0,   0.293,   0.102,   0.028,   0.036,   0.010,   0.003,  51.000,  51.000,  71.000,   0.000,   0.000,    2,   0.070
21:04:39:278, 444154569232,    0.436,    7.000,  800,   1.613,   1.658,   0.461,   0.374,   1.067,   0.296, 59,  0,   0.295,   0.135,   0.037,   0.004,   0.011,   0.003,  51.000,  51.000,  71.000,   0.000,   0.000,   22,   0.000
21:04:39:387, 444350411221,    0.545,    4.000,  900,   2.366,   1.915,   0.532,   0.913,   1.166,   0.324, 58,  0,   0.169,   0.153,   0.043,   0.266,   0.039,   0.011,  51.000,  51.000,  71.000,   0.000,   0.000,   29,   0.000
21:04:39:497, 444548445929,    0.655,    5.000,  900,   2.404,   2.180,   0.606,   0.936,   1.269,   0.353, 58,  0,   0.160,   0.171,   0.047,   0.272,   0.069,   0.019,  51.000,  51.000,  71.000,   0.000,   0.000,   29,   0.000
21:04:39:606, 444744707684,    0.764,    5.000,  900,   2.664,   2.470,   0.686,   1.180,   1.398,   0.388, 58,  0,   0.175,   0.190,   0.053,   0.276,   0.100,   0.028,  51.000,  51.000,  71.000,   0.000,   0.000,   30,   0.000
21:04:39:715, 444940882377,    0.873,    6.000, 3500,   4.996,   3.015,   0.837,   3.467,   1.776,   0.493, 59,  0,   0.214,   0.213,   0.059,   0.307,   0.133,   0.037,  51.000,  51.000,  71.000,   0.000,   0.000,   12,   1.468
21:04:39:824, 445137147373,    0.982,    4.000,  900,   2.238,   3.259,   0.905,   0.824,   1.866,   0.518, 58,  0,   0.166,   0.232,   0.064,   0.214,   0.156,   0.043,  51.000,  51.000,  71.000,   0.000,   0.000,   22,   0.000
21:04:39:933, 445333528347,    1.091,    4.000,  900,   2.335,   3.514,   0.976,   0.862,   1.960,   0.544, 58,  0,   0.160,   0.249,   0.069,   0.273,   0.186,   0.052,  51.000,  51.000,  71.000,   0.000,   0.000,   27,   0.000
