System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
15:38:38:042, 8013277284444,    0.122,   14.000, 3700,   9.932,   1.216,   0.338,   7.899,   0.967,   0.269, 68,  0,   0.763,   0.093,   0.026,   0.339,   0.042,   0.012,  51.000,  51.000,  71.000,   0.000,   0.000,   94,  16.722
15:38:38:152, 8013474296582,    0.232,   21.000, 3700,  10.013,   2.312,   0.642,   7.957,   1.838,   0.511, 67,  0,   0.736,   0.174,   0.048,   0.351,   0.080,   0.022,  51.000,  51.000,  71.000,   0.000,   0.000,   99,  17.881
15:38:38:259, 8013668588246,    0.340,   13.000, 3700,  10.209,   3.414,   0.948,   8.245,   2.728,   0.758, 60,  0,   0.692,   0.249,   0.069,   0.353,   0.118,   0.033,  51.000,  51.000,  71.000,   0.000,   0.000,   89,  16.600
15:38:38:369, 8013864603687,    0.449,   16.000, 3100,   8.311,   4.319,   1.200,   6.235,   3.407,   0.946, 60,  0,   0.804,   0.336,   0.093,   0.326,   0.154,   0.043,  51.000,  51.000,  71.000,   0.000,   0.000,   91,  16.450
15:38:38:478, 8014061732963,    0.558,   11.000, 3100,   6.823,   5.066,   1.407,   4.907,   3.945,   1.096, 58,  0,   0.796,   0.423,   0.118,   0.332,   0.190,   0.053,  51.000,  51.000,  71.000,   0.000,   0.000,   81,  14.672
15:38:38:586, 8014256583622,    0.667,   10.000, 3700,   7.196,   5.845,   1.624,   5.296,   4.518,   1.255, 59,  0,   0.749,   0.504,   0.140,   0.268,   0.219,   0.061,  51.000,  51.000,  71.000,   0.000,   0.000,   75,  13.096
15:38:38:696, 8014454351562,    0.776,    7.000, 1000,   4.105,   6.296,   1.749,   2.601,   4.804,   1.334, 57,  0,   0.523,   0.562,   0.156,   0.034,   0.223,   0.062,  51.000,  51.000,  71.000,   0.000,   0.000,   13,   1.271
15:38:38:805, 8014651095602,    0.886,    8.000,  800,   1.694,   6.481,   1.800,   0.462,   4.854,   1.348, 56,  0,   0.304,   0.595,   0.165,   0.005,   0.223,   0.062,  51.000,  51.000,  71.000,   0.000,   0.000,   13,   0.000
15:38:38:915, 8014848330603,    0.995,    7.000, 1200,   1.626,   6.659,   1.850,   0.389,   4.897,   1.360, 56,  0,   0.293,   0.627,   0.174,   0.011,   0.224,   0.062,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
15:38:39:023, 8015042513065,    1.103,    9.000, 1600,   6.313,   7.341,   2.039,   5.058,   5.442,   1.512, 57,  0,   0.291,   0.659,   0.183,   0.007,   0.225,   0.063,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
15:38:39:133, 8015241102974,    1.213,   14.000, 3700,   5.974,   8.000,   2.222,   4.513,   5.940,   1.650, 62,  0,   0.485,   0.712,   0.198,   0.025,   0.228,   0.063,  51.000,  51.000,  71.000,   0.000,   0.000,    4,   0.242
15:38:39:242, 8015436721068,    1.322,    9.000, 1000,   3.676,   8.399,   2.333,   2.115,   6.170,   1.714, 56,  0,   0.470,   0.763,   0.212,   0.014,   0.229,   0.064,  51.000,  51.000,  71.000,   0.000,   0.000,   35,   2.416
15:38:39:351, 8015633711112,    1.432,   11.000, 1000,   2.062,   8.625,   2.396,   0.809,   6.259,   1.739, 56,  0,   0.359,   0.802,   0.223,   0.005,   0.230,   0.064,  51.000,  51.000,  71.000,   0.000,   0.000,    4,   0.000
15:38:39:460, 8015830041609,    1.541,   13.000, 1000,   2.131,   8.857,   2.460,   0.877,   6.354,   1.765, 55,  0,   0.364,   0.842,   0.234,   0.007,   0.231,   0.064,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
