System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
20:37:20:756, 38422961072329,    0.120,    8.000, 3000,   6.624,   0.795,   0.221,   4.533,   0.544,   0.151, 62,  0,   0.737,   0.089,   0.025,   0.456,   0.055,   0.015,  51.000,  51.000,  71.000,   0.000,   0.000,  114,  21.914
20:37:20:866, 38423159574576,    0.230,   12.000, 3700,   8.486,   1.731,   0.481,   6.444,   1.255,   0.349, 65,  0,   0.728,   0.169,   0.047,   0.420,   0.101,   0.028,  51.000,  51.000,  71.000,   0.000,   0.000,  106,  21.667
20:37:20:974, 38423353964879,    0.338,    8.000, 2200,   7.296,   2.519,   0.700,   5.062,   1.802,   0.500, 61,  0,   0.789,   0.254,   0.071,   0.471,   0.152,   0.042,  51.000,  51.000,  71.000,   0.000,   0.000,  112,  23.232
20:37:21:083, 38423550727081,    0.448,   16.000, 3800,   8.870,   3.489,   0.969,   7.000,   2.567,   0.713, 64,  0,   0.730,   0.334,   0.093,   0.417,   0.197,   0.055,  51.000,  51.000,  71.000,   0.000,   0.000,  101,  20.636
20:37:21:192, 38423746645102,    0.556,    9.000, 3700,   9.235,   4.494,   1.248,   6.983,   3.327,   0.924, 64,  0,   0.805,   0.422,   0.117,   0.476,   0.249,   0.069,  51.000,  51.000,  71.000,   0.000,   0.000,  114,  24.089
20:37:21:303, 38423946748402,    0.668,   16.000, 3700,  13.381,   5.981,   1.661,  11.229,   4.575,   1.271, 78,  0,   0.895,   0.521,   0.145,   0.472,   0.302,   0.084,  51.000,  51.000,  71.000,   0.000,   0.000,  117,  23.866
20:37:21:444, 38424200448328,    0.809,   32.000, 3700,  16.189,   8.263,   2.295,  14.496,   6.618,   1.838, 73,  0,   0.682,   0.617,   0.171,   0.100,   0.316,   0.088,  51.000,  51.000,  71.000,   0.000,   0.000,   24,   4.090
20:37:21:524, 38424343949096,    0.888,   12.000, 3700,  11.719,   9.197,   2.555,   9.905,   7.408,   2.058, 65,  0,   0.590,   0.664,   0.184,   0.023,   0.317,   0.088,  51.000,  51.000,  71.000,   0.000,   0.000,   72,   7.623
20:37:21:635, 38424544257453,    1.000,   11.000, 1000,   2.856,   9.515,   2.643,   1.631,   7.589,   2.108, 61,  0,   0.287,   0.696,   0.193,   0.007,   0.318,   0.088,  51.000,  51.000,  71.000,   0.000,   0.000,   12,   0.000
20:37:21:744, 38424741154921,    1.109,    7.000, 1200,   3.270,   9.873,   2.742,   1.861,   7.793,   2.165, 60,  0,   0.393,   0.739,   0.205,   0.089,   0.328,   0.091,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
20:37:21:853, 38424936908718,    1.218,   12.000, 1200,   2.368,  10.130,   2.814,   1.055,   7.908,   2.197, 60,  0,   0.391,   0.782,   0.217,   0.010,   0.329,   0.091,  51.000,  51.000,  71.000,   0.000,   0.000,    2,   0.000
20:37:21:963, 38425133909850,    1.327,    8.000, 2900,   4.180,  10.588,   2.941,   2.540,   8.186,   2.274, 60,  0,   0.333,   0.818,   0.227,   0.161,   0.347,   0.096,  51.000,  51.000,  71.000,   0.000,   0.000,   90,   0.000
20:37:22:073, 38425332555859,    1.438,    7.000, 1300,   3.041,  10.923,   3.034,   1.678,   8.371,   2.325, 60,  0,   0.432,   0.866,   0.241,   0.003,   0.347,   0.096,  51.000,  51.000,  71.000,   0.000,   0.000,    0,   0.000
20:37:22:183, 38425531589184,    1.548,    7.000,  800,   1.928,  11.137,   3.093,   0.452,   8.421,   2.339, 59,  0,   0.339,   0.903,   0.251,   0.004,   0.347,   0.097,  51.000,  51.000,  71.000,   0.000,   0.000,   18,   0.000
20:37:22:286, 38425716571623,    1.651,   20.000, 3700,   5.011,  11.652,   3.237,   3.700,   8.801,   2.445, 67,  0,   0.403,   0.945,   0.262,   0.092,   0.357,   0.099,  51.000,  51.000,  71.000,   0.000,   0.000,    5,   0.318
20:37:22:405, 38425930030184,    1.769,   20.000,  900,  16.151,  13.567,   3.769,  14.399,  10.508,   2.919, 62,  0,   0.668,   1.024,   0.284,   0.209,   0.382,   0.106,  51.000,  51.000,  71.000,   0.000,   0.000,   66,  10.281
20:37:22:516, 38426129729244,    1.880,    9.000, 3700,   7.036,  14.347,   3.985,   5.555,  11.125,   3.090, 64,  0,   0.352,   1.063,   0.295,   0.259,   0.410,   0.114,  51.000,  51.000,  71.000,   0.000,   0.000,   24,   4.336
