System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
20:38:41:284, 38567911922904,    0.123,   11.000, 2200,   7.448,   0.914,   0.254,   5.364,   0.659,   0.183, 60,  0,   0.751,   0.092,   0.026,   0.412,   0.051,   0.014,  51.000,  51.000,  71.000,   0.000,   0.000,  101,  21.460
20:38:41:392, 38568107642300,    0.231,   11.000, 1900,   3.950,   1.344,   0.373,   1.949,   0.870,   0.242, 60,  0,   0.768,   0.176,   0.049,   0.428,   0.097,   0.027,  51.000,  51.000,  71.000,   0.000,   0.000,  106,  22.030
20:38:41:522, 38568342459641,    0.362,   42.000, 3700,   7.951,   2.381,   0.661,   6.108,   1.667,   0.463, 69,  0,   0.790,   0.279,   0.077,   0.444,   0.155,   0.043,  51.000,  51.000,  71.000,   0.000,   0.000,  114,  23.636
20:38:41:601, 38568483723670,    0.440,   12.000, 3700,  12.274,   3.344,   0.929,   9.508,   2.413,   0.670, 62,  0,   0.909,   0.350,   0.097,   0.480,   0.193,   0.054,  51.000,  51.000,  71.000,   0.000,   0.000,  118,  24.298
20:38:41:721, 38568699556230,    0.560,   11.000, 3400,   7.940,   4.296,   1.193,   5.908,   3.122,   0.867, 61,  0,   0.798,   0.446,   0.124,   0.425,   0.244,   0.068,  51.000,  51.000,  71.000,   0.000,   0.000,  102,  21.573
20:38:41:830, 38568895639115,    0.669,   10.000, 3400,   8.556,   5.228,   1.452,   6.618,   3.843,   1.067, 62,  0,   0.781,   0.531,   0.147,   0.303,   0.277,   0.077,  51.000,  51.000,  71.000,   0.000,   0.000,   76,  14.045
20:38:41:940, 38569093188831,    0.779,   10.000, 3700,   8.883,   6.203,   1.723,   7.468,   4.662,   1.295, 79,  0,   0.470,   0.582,   0.162,   0.015,   0.278,   0.077,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.407
20:38:42:050, 38569291876660,    0.889,   12.000, 3200,  11.986,   7.526,   2.091,  10.355,   5.805,   1.613, 62,  0,   0.446,   0.632,   0.175,   0.006,   0.279,   0.077,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
20:38:42:161, 38569490974771,    1.000,   12.000,  800,   3.604,   7.925,   2.201,   2.300,   6.060,   1.683, 60,  0,   0.385,   0.674,   0.187,   0.009,   0.280,   0.078,  51.000,  51.000,  71.000,   0.000,   0.000,   12,   0.000
20:38:42:255, 38569659943468,    1.094,   10.000,  900,   3.161,   8.222,   2.284,   1.729,   6.222,   1.728, 59,  0,   0.419,   0.714,   0.198,   0.062,   0.286,   0.079,  51.000,  51.000,  71.000,   0.000,   0.000,   23,   0.000
20:38:42:379, 38569883582370,    1.218,    8.000, 1400,   3.861,   8.701,   2.417,   2.434,   6.524,   1.812, 59,  0,   0.399,   0.763,   0.212,   0.073,   0.295,   0.082,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
20:38:42:537, 38570170221775,    1.377,   23.000, 3800,   3.389,   9.241,   2.567,   1.944,   6.834,   1.898, 65,  0,   0.257,   0.804,   0.223,   0.213,   0.329,   0.091,  51.000,  51.000,  71.000,   0.000,   0.000,    6,   0.797
20:38:42:598, 38570278150332,    1.437,    4.000, 2800,   5.737,   9.585,   2.663,   3.969,   7.072,   1.964, 60,  0,   0.404,   0.828,   0.230,   0.018,   0.330,   0.092,  51.000,  51.000,  71.000,   0.000,   0.000,    6,   0.291
