System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:05:19:434, 516433299514,    0.104,   27.000, 3700,  21.693,   2.264,   0.629,  19.669,   2.053,   0.570, 73,  0,   0.534,   0.056,   0.015,   0.025,   0.003,   0.001,  51.000,  51.000,  71.000,   0.000,   0.000,    5,   0.348
21:05:19:547, 516637123566,    0.218,   29.000, 3700,  23.346,   4.908,   1.363,  21.109,   4.443,   1.234, 80,  0,   0.747,   0.140,   0.039,   0.012,   0.004,   0.001,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.152
21:05:19:680, 516878572576,    0.352,   28.000, 3700,  26.904,   8.517,   2.366,  24.772,   7.766,   2.157, 82,  0,   0.769,   0.243,   0.068,   0.015,   0.006,   0.002,  51.000,  51.000,  71.000,   0.000,   0.000,    4,   0.600
21:05:19:764, 517028700961,    0.435,   18.000, 3700,  18.053,  10.023,   2.784,  16.027,   9.103,   2.529, 75,  0,   0.501,   0.285,   0.079,   0.018,   0.007,   0.002,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.304
21:05:19:874, 517227038209,    0.545,   22.000, 3700,  15.937,  11.779,   3.272,  14.073,  10.654,   2.959, 75,  0,   0.384,   0.328,   0.091,   0.008,   0.008,   0.002,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
21:05:19:984, 517424050082,    0.655,   14.000, 3700,  14.498,  13.365,   3.713,  12.538,  12.026,   3.341, 71,  0,   0.417,   0.373,   0.104,   0.007,   0.009,   0.003,  51.000,  51.000,  71.000,   0.000,   0.000,  126,   0.000
21:05:20:090, 517615519852,    0.761,   40.000, 3700,  25.223,  16.049,   4.458,  23.246,  14.499,   4.027, 79,  0,   0.919,   0.471,   0.131,   0.006,   0.010,   0.003,  51.000,  51.000,  71.000,   0.000,   0.000,    0,   0.000
21:05:20:201, 517814965795,    0.872,   56.000, 3700,  33.154,  19.722,   5.478,  30.683,  17.898,   4.972, 90,  0,   1.147,   0.598,   0.166,   0.008,   0.011,   0.003,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
21:05:20:303, 517998707996,    0.974,   60.000, 3700,  34.972,  23.292,   6.470,  32.687,  21.235,   5.899, 86,  0,   1.186,   0.719,   0.200,   0.033,   0.014,   0.004,  51.000,  51.000,  71.000,   0.000,   0.000,   11,   1.149
21:05:20:419, 518210117801,    1.092,   36.000, 3700,  28.141,  26.597,   7.388,  25.683,  24.252,   6.737, 78,  0,   0.904,   0.825,   0.229,   0.031,   0.018,   0.005,  51.000,  51.000,  71.000,   0.000,   0.000,    8,   0.836
21:05:20:521, 518392713572,    1.193,   19.000, 3700,  17.323,  28.354,   7.876,  15.600,  25.834,   7.176, 77,  0,   0.450,   0.871,   0.242,   0.007,   0.018,   0.005,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
21:05:20:642, 518608191225,    1.313,   30.000, 3700,  26.179,  31.488,   8.747,  23.914,  28.697,   7.971, 82,  0,   0.735,   0.959,   0.266,   0.021,   0.021,   0.006,  51.000,  51.000,  71.000,   0.000,   0.000,    6,   0.355
21:05:20:751, 518804953002,    1.422,   18.000, 3700,  17.711,  33.424,   9.285,  15.719,  30.415,   8.449, 80,  0,   0.458,   1.009,   0.280,   0.023,   0.023,   0.006,  51.000,  51.000,  71.000,   0.000,   0.000,    6,   0.784
21:05:20:860, 519001574406,    1.531,   16.000, 3700,  16.018,  35.174,   9.771,  14.141,  31.960,   8.878, 76,  0,   0.394,   1.052,   0.292,   0.006,   0.024,   0.007,  51.000,  51.000,  71.000,   0.000,   0.000,  126,   0.000
