System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
20:25:23:199, 37131355904522,    0.124,    9.000, 3400,   7.508,   0.932,   0.259,   5.663,   0.703,   0.195, 59,  0,   0.721,   0.090,   0.025,   0.287,   0.036,   0.010,  51.000,  51.000,  71.000,   0.000,   0.000,   75,  13.825
20:25:23:310, 37131557215981,    0.236,   11.000, 3100,   6.253,   1.632,   0.453,   4.430,   1.199,   0.333, 58,  0,   0.690,   0.167,   0.046,   0.276,   0.066,   0.018,  51.000,  51.000,  71.000,   0.000,   0.000,   76,  13.912
20:25:23:421, 37131755793290,    0.346,   10.000, 2500,   5.420,   2.230,   0.619,   3.655,   1.602,   0.445, 58,  0,   0.677,   0.241,   0.067,   0.258,   0.095,   0.026,  51.000,  51.000,  71.000,   0.000,   0.000,   72,  12.965
20:25:23:531, 37131954180373,    0.457,    9.000, 2200,   4.397,   2.714,   0.754,   2.551,   1.883,   0.523, 58,  0,   0.712,   0.320,   0.089,   0.280,   0.126,   0.035,  51.000,  51.000,  71.000,   0.000,   0.000,   72,  13.203
20:25:23:642, 37132153118646,    0.567,   15.000, 3700,   6.495,   3.432,   0.953,   4.688,   2.401,   0.667, 58,  0,   0.698,   0.397,   0.110,   0.249,   0.153,   0.043,  51.000,  51.000,  71.000,   0.000,   0.000,   69,  12.939
20:25:23:753, 37132353647422,    0.678,    9.000, 2500,   6.809,   4.191,   1.164,   5.056,   2.964,   0.823, 59,  0,   0.676,   0.472,   0.131,   0.185,   0.174,   0.048,  51.000,  51.000,  71.000,   0.000,   0.000,   50,   8.964
20:25:23:848, 37132526460496,    0.774,    5.000,  800,   3.359,   4.513,   1.254,   2.014,   3.158,   0.877, 57,  0,   0.388,   0.509,   0.142,   0.013,   0.175,   0.049,  51.000,  51.000,  71.000,   0.000,   0.000,    5,   0.317
20:25:23:972, 37132748342458,    0.898,   13.000, 3700,   3.199,   4.907,   1.363,   1.911,   3.393,   0.943, 57,  0,   0.317,   0.549,   0.152,   0.043,   0.180,   0.050,  51.000,  51.000,  71.000,   0.000,   0.000,   10,   1.816
20:25:24:083, 37132947206199,    1.008,    5.000,  800,   3.521,   5.296,   1.471,   2.216,   3.638,   1.011, 56,  0,   0.357,   0.588,   0.163,   0.009,   0.181,   0.050,  51.000,  51.000,  71.000,   0.000,   0.000,   24,   0.165
20:25:24:178, 37133119712562,    1.104,   10.000, 1000,   2.287,   5.516,   1.532,   0.946,   3.729,   1.036, 57,  0,   0.285,   0.615,   0.171,   0.115,   0.192,   0.053,  51.000,  51.000,  71.000,   0.000,   0.000,   26,   0.000
20:25:24:289, 37133318132261,    1.214,    6.000, 2000,   6.407,   6.222,   1.728,   4.896,   4.269,   1.186, 58,  0,   0.439,   0.664,   0.184,   0.126,   0.206,   0.057,  51.000,  51.000,  71.000,   0.000,   0.000,   12,   2.352
20:25:24:399, 37133516623534,    1.325,   11.000, 1000,   4.947,   6.767,   1.880,   3.522,   4.657,   1.294, 58,  0,   0.287,   0.695,   0.193,   0.203,   0.229,   0.064,  51.000,  51.000,  71.000,   0.000,   0.000,   21,   0.000
20:25:24:511, 37133717270420,    1.436,    9.000, 3700,   4.554,   7.275,   2.021,   3.038,   4.996,   1.388, 58,  0,   0.300,   0.729,   0.202,   0.262,   0.258,   0.072,  51.000,  51.000,  71.000,   0.000,   0.000,   96,   0.000
20:25:24:619, 37133912558268,    1.545,    8.000, 1600,   3.935,   7.702,   2.139,   2.511,   5.268,   1.463, 57,  0,   0.253,   0.756,   0.210,   0.205,   0.280,   0.078,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
20:25:24:729, 37134111619668,    1.655,   11.000,  800,   3.778,   8.120,   2.255,   2.336,   5.526,   1.535, 57,  0,   0.251,   0.784,   0.218,   0.206,   0.303,   0.084,  51.000,  51.000,  71.000,   0.000,   0.000,   20,   0.000
20:25:24:841, 37134313015852,    1.767,   13.000, 3400,   7.874,   9.001,   2.500,   6.105,   6.210,   1.725, 59,  0,   0.273,   0.814,   0.226,   0.256,   0.332,   0.092,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
20:25:24:957, 37134522885740,    1.884,   21.000, 3600,   4.233,   9.494,   2.637,   2.670,   6.521,   1.811, 64,  0,   0.305,   0.850,   0.236,   0.225,   0.358,   0.099,  51.000,  51.000,  71.000,   0.000,   0.000,    9,   1.391
20:25:25:059, 37134704173193,    1.984,    5.000, 1100,   3.959,   9.893,   2.748,   2.385,   6.761,   1.878, 57,  0,   0.270,   0.877,   0.244,   0.208,   0.379,   0.105,  51.000,  51.000,  71.000,   0.000,   0.000,   25,   0.366
20:25:25:169, 37134903047920,    2.095,    2.000,  900,   2.758,  10.198,   2.833,   1.110,   6.884,   1.912, 56,  0,   0.158,   0.895,   0.248,   0.260,   0.407,   0.113,  51.000,  51.000,  71.000,   0.000,   0.000,    9,   0.000
20:25:25:279, 37135100669573,    2.205,    4.000,  900,   2.453,  10.467,   2.908,   1.035,   6.997,   1.944, 56,  0,   0.158,   0.912,   0.253,   0.216,   0.431,   0.120,  51.000,  51.000,  71.000,   0.000,   0.000,   21,   0.000
