System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
16:04:08:877, 10768783059338,    0.123,   13.000, 3400,   9.272,   1.141,   0.317,   7.401,   0.911,   0.253, 60,  0,   0.709,   0.087,   0.024,   0.323,   0.040,   0.011,  51.000,  51.000,  71.000,   0.000,   0.000,   85,  14.845
16:04:09:000, 10769004780513,    0.246,   22.000, 3700,   7.491,   2.064,   0.573,   5.560,   1.596,   0.443, 66,  0,   0.715,   0.175,   0.049,   0.365,   0.085,   0.024,  51.000,  51.000,  71.000,   0.000,   0.000,   97,  16.903
16:04:09:096, 10769175331048,    0.341,   11.000, 2800,   6.965,   2.724,   0.757,   5.048,   2.074,   0.576, 60,  0,   0.680,   0.240,   0.067,   0.323,   0.115,   0.032,  51.000,  51.000,  71.000,   0.000,   0.000,   86,  15.266
16:04:09:204, 10769369677556,    0.449,   10.000, 2200,   5.429,   3.310,   0.919,   3.477,   2.450,   0.680, 59,  0,   0.738,   0.319,   0.089,   0.332,   0.151,   0.042,  51.000,  51.000,  71.000,   0.000,   0.000,   90,  15.804
16:04:09:313, 10769566009347,    0.558,   13.000, 2200,   4.694,   3.822,   1.062,   2.793,   2.754,   0.765, 60,  0,   0.774,   0.404,   0.112,   0.318,   0.186,   0.052,  51.000,  51.000,  71.000,   0.000,   0.000,   80,  13.921
16:04:09:424, 10769766634139,    0.670,   10.000, 2900,   5.462,   4.431,   1.231,   3.695,   3.166,   0.879, 58,  0,   0.627,   0.474,   0.132,   0.174,   0.205,   0.057,  51.000,  51.000,  71.000,   0.000,   0.000,   62,  11.365
16:04:09:534, 10769964132851,    0.779,    5.000,  800,   2.942,   4.754,   1.320,   1.598,   3.342,   0.928, 58,  0,   0.362,   0.513,   0.143,   0.018,   0.207,   0.058,  51.000,  51.000,  71.000,   0.000,   0.000,    5,   0.283
16:04:09:642, 10770158444799,    0.887,    5.000,  800,   1.918,   4.961,   1.378,   0.676,   3.414,   0.948, 58,  0,   0.317,   0.548,   0.152,   0.007,   0.208,   0.058,  51.000,  51.000,  71.000,   0.000,   0.000,   28,   0.000
16:04:09:750, 10770352875445,    0.995,   10.000, 1900,   3.469,   5.336,   1.482,   2.063,   3.637,   1.010, 58,  0,   0.438,   0.595,   0.165,   0.061,   0.215,   0.060,  51.000,  51.000,  71.000,   0.000,   0.000,    8,   1.200
16:04:09:859, 10770548965942,    1.104,   10.000, 1900,   3.100,   5.673,   1.576,   1.699,   3.822,   1.062, 58,  0,   0.477,   0.647,   0.180,   0.007,   0.216,   0.060,  51.000,  51.000,  71.000,   0.000,   0.000,   34,   0.000
16:04:10:004, 10770810045312,    1.249,   18.000, 3500,   3.945,   6.246,   1.735,   2.528,   4.189,   1.164, 62,  0,   0.475,   0.716,   0.199,   0.022,   0.219,   0.061,  51.000,  51.000,  71.000,   0.000,   0.000,    5,   0.545
16:04:10:080, 10770946047640,    1.325,    6.000, 3200,   5.681,   6.675,   1.854,   4.101,   4.499,   1.250, 59,  0,   0.560,   0.758,   0.211,   0.021,   0.220,   0.061,  51.000,  51.000,  71.000,   0.000,   0.000,   34,   2.212
16:04:10:189, 10771143376301,    1.434,   29.000, 3800,  15.478,   8.372,   2.325,  13.957,   6.029,   1.675, 61,  0,   0.751,   0.840,   0.233,   0.008,   0.221,   0.061,  51.000,  51.000,  71.000,   0.000,   0.000,    4,   0.000
16:04:10:299, 10771340784839,    1.544,    8.000, 1400,   3.247,   8.728,   2.424,   1.692,   6.215,   1.726, 59,  0,   0.532,   0.899,   0.250,   0.009,   0.222,   0.062,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
16:04:10:408, 10771537198390,    1.653,   11.000, 3800,   7.406,   9.536,   2.649,   5.898,   6.858,   1.905, 61,  0,   0.360,   0.938,   0.261,   0.009,   0.223,   0.062,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
16:04:10:516, 10771732862872,    1.762,    6.000, 1600,   6.284,  10.219,   2.839,   4.782,   7.378,   2.049, 58,  0,   0.515,   0.994,   0.276,   0.008,   0.224,   0.062,  51.000,  51.000,  71.000,   0.000,   0.000,    2,   0.000
16:04:10:626, 10771930316909,    1.872,   10.000,  800,   1.835,  10.420,   2.895,   0.565,   7.440,   2.067, 58,  0,   0.328,   1.030,   0.286,   0.009,   0.225,   0.063,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
16:04:10:735, 10772125910390,    1.980,   10.000, 2400,   2.016,  10.639,   2.955,   0.677,   7.514,   2.087, 58,  0,   0.353,   1.068,   0.297,   0.007,   0.226,   0.063,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
16:04:10:845, 10772323395446,    2.090,    6.000, 3700,   2.319,  10.894,   3.026,   1.198,   7.645,   2.124, 61,  0,   0.282,   1.099,   0.305,   0.010,   0.227,   0.063,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
16:04:10:952, 10772517574901,    2.198,    3.000,  800,   2.178,  11.129,   3.091,   0.843,   7.736,   2.149, 57,  0,   0.317,   1.133,   0.315,   0.006,   0.228,   0.063,  51.000,  51.000,  71.000,   0.000,   0.000,    2,   0.000
16:04:11:063, 10772715701643,    2.308,    9.000, 3500,   3.447,  11.508,   3.197,   2.121,   7.969,   2.214, 58,  0,   0.343,   1.171,   0.325,   0.035,   0.231,   0.064,  51.000,  51.000,  71.000,   0.000,   0.000,    8,   0.792
