System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
15:17:47:357, 5762042528276,    0.107,   11.000, 3400,   8.176,   0.876,   0.243,   6.240,   0.669,   0.186, 60,  0,   0.751,   0.081,   0.022,   0.353,   0.038,   0.011,  51.000,  51.000,  71.000,   0.000,   0.000,   89,  15.521
15:17:47:468, 5762241363871,    0.218,   12.000, 3100,   7.175,   1.669,   0.464,   5.258,   1.250,   0.347, 58,  0,   0.724,   0.161,   0.045,   0.307,   0.072,   0.020,  51.000,  51.000,  71.000,   0.000,   0.000,   93,  16.648
15:17:47:577, 5762437630392,    0.327,    9.000, 2200,   5.536,   2.273,   0.631,   3.642,   1.647,   0.457, 58,  0,   0.714,   0.238,   0.066,   0.331,   0.108,   0.030,  51.000,  51.000,  71.000,   0.000,   0.000,   84,  15.039
15:17:47:685, 5762633112411,    0.435,   14.000, 2200,   4.156,   2.724,   0.757,   2.335,   1.900,   0.528, 57,  0,   0.686,   0.313,   0.087,   0.300,   0.140,   0.039,  51.000,  51.000,  71.000,   0.000,   0.000,   81,  14.503
15:17:47:795, 5762829692801,    0.545,   12.000, 1900,   4.208,   3.184,   0.884,   2.281,   2.150,   0.597, 58,  0,   0.755,   0.395,   0.110,   0.338,   0.177,   0.049,  51.000,  51.000,  71.000,   0.000,   0.000,   93,  16.896
15:17:47:905, 5763027638418,    0.654,   14.000, 3700,   6.241,   3.870,   1.075,   4.369,   2.630,   0.731, 58,  0,   0.735,   0.476,   0.132,   0.301,   0.210,   0.058,  51.000,  51.000,  71.000,   0.000,   0.000,   74,  13.126
15:17:48:015, 5763226764810,    0.765,   10.000, 2800,   4.989,   4.422,   1.228,   3.513,   3.019,   0.838, 58,  0,   0.432,   0.524,   0.146,   0.022,   0.213,   0.059,  51.000,  51.000,  71.000,   0.000,   0.000,   12,   0.990
15:17:48:125, 5763424234094,    0.875,    4.000,  800,   1.733,   4.612,   1.281,   0.476,   3.071,   0.853, 56,  0,   0.312,   0.558,   0.155,   0.008,   0.214,   0.059,  51.000,  51.000,  71.000,   0.000,   0.000,    7,   0.121
15:17:48:252, 5763652714907,    1.002,   16.000, 2400,   2.639,   4.947,   1.374,   1.362,   3.244,   0.901, 60,  0,   0.304,   0.597,   0.166,   0.024,   0.217,   0.060,  51.000,  51.000,  71.000,   0.000,   0.000,    5,   0.449
15:17:48:342, 5763816079858,    1.093,    6.000,  800,   2.196,   5.146,   1.430,   0.955,   3.330,   0.925, 56,  0,   0.349,   0.629,   0.175,   0.013,   0.218,   0.061,  51.000,  51.000,  71.000,   0.000,   0.000,   31,   2.597
