System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
19:36:35:308, 31861141617537,    0.109,    6.000,  800,   4.626,   0.502,   0.140,   2.838,   0.308,   0.086, 50,  0,   0.414,   0.045,   0.012,   0.016,   0.002,   0.000,  51.000,  51.000,  71.000,   0.000,   0.000,   24,   0.380
19:36:35:420, 31861342456521,    0.220,    3.000,  800,   2.410,   0.771,   0.214,   0.937,   0.413,   0.115, 50,  0,   0.197,   0.067,   0.019,   0.255,   0.030,   0.008,  51.000,  51.000,  71.000,   0.000,   0.000,   12,   0.197
19:36:35:529, 31861538852931,    0.329,    6.000,  800,   2.489,   1.043,   0.290,   1.013,   0.523,   0.145, 50,  0,   0.185,   0.087,   0.024,   0.213,   0.053,   0.015,  51.000,  51.000,  71.000,   0.000,   0.000,   22,   0.063
19:36:35:641, 31861740300091,    0.441,    4.000,  800,   2.396,   1.311,   0.364,   0.900,   0.624,   0.173, 50,  0,   0.184,   0.108,   0.030,   0.250,   0.081,   0.023,  51.000,  51.000,  71.000,   0.000,   0.000,   21,   0.000
19:36:35:751, 31861938232904,    0.551,    2.000,  800,   2.423,   1.577,   0.438,   0.742,   0.706,   0.196, 50,  0,   0.167,   0.126,   0.035,   0.245,   0.108,   0.030,  51.000,  51.000,  71.000,   0.000,   0.000,    9,   0.000
19:36:35:860, 31862134499300,    0.660,    3.000,  800,   2.732,   1.875,   0.521,   1.253,   0.842,   0.234, 50,  0,   0.169,   0.145,   0.040,   0.216,   0.132,   0.037,  51.000,  51.000,  71.000,   0.000,   0.000,    8,   0.000
19:36:35:969, 31862331447949,    0.770,    4.000, 2100,   6.215,   2.555,   0.710,   4.549,   1.340,   0.372, 51,  0,   0.180,   0.164,   0.046,   0.211,   0.155,   0.043,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
19:36:36:080, 31862530386037,    0.880,    4.000,  800,   1.937,   2.769,   0.769,   0.494,   1.394,   0.387, 50,  0,   0.181,   0.184,   0.051,   0.197,   0.177,   0.049,  51.000,  51.000,  71.000,   0.000,   0.000,    8,   0.000
19:36:36:190, 31862728616540,    0.990,   12.000, 3700,   5.490,   3.374,   0.937,   3.935,   1.828,   0.508, 53,  0,   0.262,   0.213,   0.059,   0.221,   0.201,   0.056,  51.000,  51.000,  71.000,   0.000,   0.000,    6,   0.690
19:36:36:299, 31862925272925,    1.099,    4.000,  800,   5.059,   3.927,   1.091,   3.367,   2.196,   0.610, 50,  0,   0.234,   0.239,   0.066,   0.204,   0.223,   0.062,  51.000,  51.000,  71.000,   0.000,   0.000,   10,   0.352
19:36:36:409, 31863123159247,    1.209,    4.000,  800,   2.357,   4.186,   1.163,   0.894,   2.294,   0.637, 50,  0,   0.164,   0.257,   0.071,   0.213,   0.247,   0.069,  51.000,  51.000,  71.000,   0.000,   0.000,   21,   0.000
19:36:36:520, 31863322939535,    1.320,    2.000,  800,   2.316,   4.443,   1.234,   0.814,   2.384,   0.662, 50,  0,   0.164,   0.275,   0.076,   0.250,   0.274,   0.076,  51.000,  51.000,  71.000,   0.000,   0.000,    9,   0.000
19:36:36:614, 31863492272796,    1.414,    6.000,  800,   2.446,   4.673,   1.298,   0.977,   2.476,   0.688, 50,  0,   0.180,   0.292,   0.081,   0.215,   0.295,   0.082,  51.000,  51.000,  71.000,   0.000,   0.000,   25,   0.000
19:36:36:725, 31863691936096,    1.525,    2.000,  800,   2.331,   4.931,   1.370,   0.822,   2.567,   0.713, 50,  0,   0.174,   0.311,   0.086,   0.255,   0.323,   0.090,  51.000,  51.000,  71.000,   0.000,   0.000,    9,   0.000
19:36:36:836, 31863892273235,    1.637,    4.000, 1700,   5.282,   5.519,   1.533,   3.833,   2.994,   0.832, 51,  0,   0.180,   0.331,   0.092,   0.209,   0.346,   0.096,  51.000,  51.000,  71.000,   0.000,   0.000,    2,   0.000
19:36:36:948, 31864092828493,    1.748,    3.000,  800,   1.901,   5.731,   1.592,   0.449,   3.044,   0.846, 50,  0,   0.171,   0.350,   0.097,   0.199,   0.368,   0.102,  51.000,  51.000,  71.000,   0.000,   0.000,    8,   0.000
19:36:37:060, 31864294264062,    1.860,    3.000, 2400,   3.164,   6.085,   1.690,   1.695,   3.234,   0.898, 50,  0,   0.200,   0.373,   0.104,   0.209,   0.392,   0.109,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
19:36:37:187, 31864524817840,    1.988,   14.000, 3800,   3.435,   6.525,   1.813,   2.026,   3.493,   0.970, 60,  0,   0.249,   0.405,   0.112,   0.206,   0.418,   0.116,  51.000,  51.000,  71.000,   0.000,   0.000,    4,   0.591
19:36:37:283, 31864696331736,    2.083,    3.000, 2000,   4.647,   6.968,   1.936,   3.029,   3.782,   1.050, 51,  0,   0.252,   0.429,   0.119,   0.206,   0.438,   0.122,  51.000,  51.000,  71.000,   0.000,   0.000,    4,   0.520
19:36:37:394, 31864896142561,    2.194,    4.000,  800,   1.963,   7.186,   1.996,   0.512,   3.839,   1.066, 51,  0,   0.164,   0.447,   0.124,   0.198,   0.460,   0.128,  51.000,  51.000,  71.000,   0.000,   0.000,    7,   0.000
19:36:37:490, 31865068925368,    2.290,    4.000,  800,   2.582,   7.434,   2.065,   1.122,   3.946,   1.096, 50,  0,   0.168,   0.463,   0.129,   0.212,   0.480,   0.133,  51.000,  51.000,  71.000,   0.000,   0.000,   29,   0.000
19:36:37:599, 31865265099448,    2.399,    2.000,  800,   2.466,   7.703,   2.140,   0.891,   4.044,   1.123, 50,  0,   0.166,   0.481,   0.134,   0.267,   0.509,   0.141,  51.000,  51.000,  71.000,   0.000,   0.000,    9,   0.000
19:36:37:723, 31865488333307,    2.523,    5.000,  800,   2.607,   8.026,   2.229,   0.891,   4.154,   1.154, 50,  0,   0.179,   0.503,   0.140,   0.208,   0.535,   0.149,  51.000,  51.000,  71.000,   0.000,   0.000,   20,   0.000
19:36:37:818, 31865659396037,    2.618,    5.000, 1000,   2.549,   8.268,   2.297,   0.985,   4.248,   1.180, 50,  0,   0.170,   0.519,   0.144,   0.267,   0.560,   0.156,  51.000,  51.000,  71.000,   0.000,   0.000,   29,   0.000
19:36:37:929, 31865858837529,    2.729,    4.000, 3700,   3.131,   8.615,   2.393,   1.613,   4.426,   1.230, 55,  0,   0.174,   0.539,   0.150,   0.257,   0.589,   0.164,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
19:36:38:039, 31866057396602,    2.840,    4.000,  800,   4.769,   9.141,   2.539,   3.344,   4.795,   1.332, 50,  0,   0.167,   0.557,   0.155,   0.194,   0.610,   0.170,  51.000,  51.000,  71.000,   0.000,   0.000,    7,   0.000
19:36:38:200, 31866348392672,    3.001,   21.000, 3600,   3.257,   9.668,   2.685,   1.717,   5.073,   1.409, 57,  0,   0.264,   0.600,   0.167,   0.215,   0.645,   0.179,  51.000,  51.000,  71.000,   0.000,   0.000,    5,   0.606
19:36:38:258, 31866452148898,    3.059,    5.000, 3700,   5.021,   9.957,   2.766,   3.656,   5.284,   1.468, 57,  0,   0.250,   0.614,   0.171,   0.211,   0.657,   0.183,  51.000,  51.000,  71.000,   0.000,   0.000,   47,   4.949
19:36:38:369, 31866651466618,    3.170,    2.000,  800,   2.575,  10.242,   2.845,   1.057,   5.401,   1.500, 50,  0,   0.170,   0.633,   0.176,   0.196,   0.679,   0.189,  51.000,  51.000,  71.000,   0.000,   0.000,    5,   0.000
19:36:38:480, 31866851449305,    3.281,    3.000,  800,   2.329,  10.501,   2.917,   0.864,   5.497,   1.527, 50,  0,   0.166,   0.651,   0.181,   0.210,   0.702,   0.195,  51.000,  51.000,  71.000,   0.000,   0.000,    8,   0.000
19:36:38:590, 31867048552592,    3.390,   10.000,  800,   2.467,  10.771,   2.992,   1.006,   5.607,   1.557, 50,  0,   0.164,   0.669,   0.186,   0.215,   0.726,   0.202,  51.000,  51.000,  71.000,   0.000,   0.000,   17,   0.000
19:36:38:699, 31867244729783,    3.499,    5.000,  800,   4.016,  11.209,   3.114,   2.466,   5.876,   1.632, 50,  0,   0.245,   0.696,   0.193,   0.241,   0.752,   0.209,  51.000,  51.000,  71.000,   0.000,   0.000,   24,   0.000
19:36:38:809, 31867442822904,    3.609,    4.000,  800,   2.426,  11.476,   3.188,   0.918,   5.977,   1.660, 50,  0,   0.185,   0.716,   0.199,   0.253,   0.780,   0.217,  51.000,  51.000,  71.000,   0.000,   0.000,   24,   0.000
19:36:38:919, 31867640818626,    3.719,    2.000,  800,   2.418,  11.742,   3.262,   0.921,   6.078,   1.688, 50,  0,   0.168,   0.735,   0.204,   0.251,   0.808,   0.224,  51.000,  51.000,  71.000,   0.000,   0.000,    9,   0.000
19:36:39:030, 31867840834784,    3.830,    3.000,  800,   2.388,  12.007,   3.335,   0.927,   6.181,   1.717, 50,  0,   0.169,   0.754,   0.209,   0.211,   0.831,   0.231,  51.000,  51.000,  71.000,   0.000,   0.000,    8,   0.000
19:36:39:141, 31868040691797,    3.941,    4.000,  800,   2.838,  12.322,   3.423,   1.375,   6.333,   1.759, 50,  0,   0.190,   0.775,   0.215,   0.211,   0.854,   0.237,  51.000,  51.000,  71.000,   0.000,   0.000,   13,   0.000
