System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
14:47:37:208, 2503772276996,    0.109,    7.000,  800,   2.213,   0.242,   0.067,   0.889,   0.097,   0.027, 51,  0,   0.350,   0.038,   0.011,   0.023,   0.003,   0.001,  51.000,  51.000,  71.000,   0.000,   0.000,    7,   0.294
14:47:37:332, 2503994482797,    0.233,   10.000, 3700,   7.392,   1.154,   0.321,   6.152,   0.857,   0.238, 54,  0,   0.315,   0.077,   0.021,   0.013,   0.004,   0.001,  51.000,  51.000,  71.000,   0.000,   0.000,    6,   0.196
14:47:37:468, 2504239355004,    0.369,   17.000, 2800,   2.598,   1.508,   0.419,   1.232,   1.024,   0.285, 54,  0,   0.321,   0.121,   0.034,   0.024,   0.007,   0.002,  51.000,  51.000,  71.000,   0.000,   0.000,    6,   0.485
14:47:37:550, 2504386222344,    0.450,    3.000, 2000,   3.757,   1.814,   0.504,   2.346,   1.216,   0.338, 52,  0,   0.276,   0.143,   0.040,   0.020,   0.009,   0.003,  51.000,  51.000,  71.000,   0.000,   0.000,   40,   2.903
14:47:37:659, 2504583250171,    0.560,    4.000,  800,   1.502,   1.979,   0.550,   0.263,   1.245,   0.346, 51,  0,   0.296,   0.176,   0.049,   0.008,   0.010,   0.003,  51.000,  51.000,  71.000,   0.000,   0.000,    5,   0.000
14:47:37:767, 2504777609537,    0.668,   11.000,  800,   1.859,   2.180,   0.605,   0.601,   1.310,   0.364, 51,  0,   0.341,   0.213,   0.059,   0.008,   0.011,   0.003,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.102
14:47:37:876, 2504973686276,    0.777,   11.000,  800,   1.861,   2.382,   0.662,   0.589,   1.374,   0.382, 51,  0,   0.349,   0.251,   0.070,   0.013,   0.012,   0.003,  51.000,  51.000,  71.000,   0.000,   0.000,    5,   0.163
14:47:37:984, 2505168488223,    0.885,   11.000, 2800,   3.550,   2.766,   0.768,   2.171,   1.609,   0.447, 51,  0,   0.405,   0.294,   0.082,   0.011,   0.013,   0.004,  51.000,  51.000,  71.000,   0.000,   0.000,    9,   0.144
14:47:38:094, 2505365953947,    0.995,    4.000, 3600,   2.222,   3.010,   0.836,   0.914,   1.709,   0.475, 51,  0,   0.362,   0.334,   0.093,   0.010,   0.014,   0.004,  51.000,  51.000,  71.000,   0.000,   0.000,    7,   0.124
14:47:38:203, 2505563055117,    1.104,    3.000,  800,   1.849,   3.213,   0.892,   0.621,   1.777,   0.494, 51,  0,   0.294,   0.366,   0.102,   0.007,   0.015,   0.004,  51.000,  51.000,  71.000,   0.000,   0.000,    2,   0.000
14:47:38:311, 2505757201785,    1.212,    9.000,  800,   1.716,   3.398,   0.944,   0.480,   1.829,   0.508, 51,  0,   0.310,   0.400,   0.111,   0.010,   0.016,   0.005,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
14:47:38:471, 2506047075977,    1.373,   19.000, 2800,   2.362,   3.778,   1.050,   1.083,   2.003,   0.556, 54,  0,   0.330,   0.453,   0.126,   0.024,   0.020,   0.006,  51.000,  51.000,  71.000,   0.000,   0.000,    5,   0.530
14:47:38:530, 2506151134950,    1.431,    5.000, 3700,   5.069,   4.071,   1.131,   3.634,   2.213,   0.615, 52,  0,   0.442,   0.479,   0.133,   0.025,   0.022,   0.006,  51.000,  51.000,  71.000,   0.000,   0.000,   33,   1.152
14:47:38:640, 2506348900684,    1.541,    4.000,  800,   1.699,   4.258,   1.183,   0.444,   2.262,   0.628, 51,  0,   0.313,   0.513,   0.143,   0.008,   0.023,   0.006,  51.000,  51.000,  71.000,   0.000,   0.000,    6,   0.000
14:47:38:750, 2506546870602,    1.651,    5.000,  800,   1.489,   4.422,   1.228,   0.249,   2.289,   0.636, 51,  0,   0.297,   0.546,   0.152,   0.008,   0.023,   0.007,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
14:47:38:860, 2506745512110,    1.761,   12.000, 1200,   2.264,   4.672,   1.298,   0.800,   2.378,   0.660, 51,  0,   0.376,   0.587,   0.163,   0.007,   0.024,   0.007,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
14:47:38:968, 2506938661427,    1.868,   16.000, 3200,   3.401,   5.037,   1.399,   2.020,   2.594,   0.721, 56,  0,   0.453,   0.636,   0.177,   0.053,   0.030,   0.008,  51.000,  51.000,  71.000,   0.000,   0.000,   14,   2.056
14:47:39:077, 2507135260909,    1.978,    8.000,  800,   3.475,   5.416,   1.504,   2.045,   2.818,   0.783, 51,  0,   0.477,   0.688,   0.191,   0.004,   0.030,   0.008,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
14:47:39:186, 2507331269505,    2.087,   13.000, 1200,   2.466,   5.685,   1.579,   1.138,   2.942,   0.817, 51,  0,   0.370,   0.728,   0.202,   0.010,   0.031,   0.009,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
14:47:39:295, 2507528896915,    2.196,   11.000, 1200,   2.223,   5.929,   1.647,   0.951,   3.046,   0.846, 51,  0,   0.377,   0.770,   0.214,   0.004,   0.032,   0.009,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
14:47:39:405, 2507725564842,    2.306,   15.000, 3700,   5.786,   6.561,   1.822,   4.233,   3.509,   0.975, 53,  0,   0.422,   0.816,   0.227,   0.011,   0.033,   0.009,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
14:47:39:514, 2507922229526,    2.415,   10.000, 1400,   4.986,   7.106,   1.974,   3.387,   3.879,   1.077, 52,  0,   0.503,   0.871,   0.242,   0.042,   0.038,   0.010,  51.000,  51.000,  71.000,   0.000,   0.000,    7,   0.921
14:47:39:622, 2508117022625,    2.523,   11.000, 3700,   3.933,   7.531,   2.092,   2.499,   4.149,   1.153, 53,  0,   0.466,   0.921,   0.256,   0.006,   0.038,   0.011,  51.000,  51.000,  71.000,   0.000,   0.000,    9,   0.000
14:47:39:731, 2508313271051,    2.632,    9.000,  800,   2.586,   7.813,   2.170,   1.233,   4.284,   1.190, 51,  0,   0.413,   0.966,   0.268,   0.004,   0.039,   0.011,  51.000,  51.000,  71.000,   0.000,   0.000,    2,   0.000
14:47:39:840, 2508508963475,    2.741,   15.000, 1200,   2.259,   8.059,   2.239,   0.978,   4.390,   1.219, 51,  0,   0.389,   1.008,   0.280,   0.008,   0.040,   0.011,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
