System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
19:46:57:748, 32981535341673,    0.120,    9.000,  800,   5.050,   0.604,   0.168,   3.669,   0.439,   0.122, 53,  0,   0.363,   0.043,   0.012,   0.014,   0.002,   0.000,  51.000,  51.000,  71.000,   0.000,   0.000,   25,   0.205
19:46:57:857, 32981732289632,    0.229,    3.000,  800,   2.247,   0.850,   0.236,   0.867,   0.534,   0.148, 53,  0,   0.316,   0.078,   0.022,   0.108,   0.014,   0.004,  51.000,  51.000,  71.000,   0.000,   0.000,   11,   0.250
19:46:57:965, 32981927306893,    0.337,    4.000, 1200,   2.585,   1.130,   0.314,   1.179,   0.662,   0.184, 53,  0,   0.230,   0.103,   0.029,   0.199,   0.035,   0.010,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.073
19:46:58:075, 32982123702327,    0.447,    5.000, 3300,   3.134,   1.472,   0.409,   1.739,   0.851,   0.236, 53,  0,   0.171,   0.122,   0.034,   0.203,   0.057,   0.016,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
19:46:58:183, 32982318715516,    0.555,    5.000,  900,   2.313,   1.723,   0.479,   0.857,   0.944,   0.262, 53,  0,   0.190,   0.142,   0.040,   0.200,   0.079,   0.022,  51.000,  51.000,  71.000,   0.000,   0.000,   25,   0.000
19:46:58:294, 32982518163548,    0.666,    4.000,  900,   2.598,   2.011,   0.559,   1.124,   1.069,   0.297, 53,  0,   0.162,   0.160,   0.045,   0.268,   0.109,   0.030,  51.000,  51.000,  71.000,   0.000,   0.000,   10,   0.000
19:46:58:403, 32982714301253,    0.775,    5.000,  800,   2.845,   2.321,   0.645,   1.384,   1.219,   0.339, 53,  0,   0.205,   0.183,   0.051,   0.219,   0.132,   0.037,  51.000,  51.000,  71.000,   0.000,   0.000,   26,   0.000
19:46:58:511, 32982909032795,    0.883,   12.000, 3700,   4.785,   2.839,   0.788,   3.316,   1.578,   0.438, 59,  0,   0.201,   0.204,   0.057,   0.289,   0.164,   0.045,  51.000,  51.000,  71.000,   0.000,   0.000,   10,   1.281
19:46:58:621, 32983107663318,    0.993,    2.000,  800,   2.366,   3.100,   0.861,   0.938,   1.682,   0.467, 53,  0,   0.168,   0.223,   0.062,   0.201,   0.186,   0.052,  51.000,  51.000,  71.000,   0.000,   0.000,    8,   0.000
19:46:58:732, 32983306585346,    1.104,    5.000,  900,   2.399,   3.365,   0.935,   0.971,   1.789,   0.497, 53,  0,   0.159,   0.240,   0.067,   0.222,   0.210,   0.058,  51.000,  51.000,  71.000,   0.000,   0.000,   22,   0.000
