System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
13:30:28:298, 357113533416562,    0.124,   14.000, 3700,   9.011,   1.117,   0.310,   6.999,   0.867,   0.241, 60,  0,   0.639,   0.079,   0.022,   0.198,   0.025,   0.007,  51.000,  51.000,  71.000,   0.000,   0.000,   55,   9.214
13:30:28:408, 357113731739036,    0.234,    8.000, 1300,   5.335,   1.704,   0.473,   3.590,   1.263,   0.351, 59,  0,   0.659,   0.152,   0.042,   0.187,   0.045,   0.013,  51.000,  51.000,  71.000,   0.000,   0.000,   51,   8.018
13:30:28:519, 357113930901679,    0.345,   18.000, 3700,   4.700,   2.224,   0.618,   2.947,   1.589,   0.441, 59,  0,   0.610,   0.219,   0.061,   0.188,   0.066,   0.018,  51.000,  51.000,  71.000,   0.000,   0.000,   54,   8.823
13:30:28:627, 357114126577588,    0.453,    7.000, 1600,   5.857,   2.861,   0.795,   4.128,   2.038,   0.566, 59,  0,   0.639,   0.289,   0.080,   0.213,   0.089,   0.025,  51.000,  51.000,  71.000,   0.000,   0.000,   58,   9.217
13:30:28:735, 357114320736707,    0.561,   12.000, 1600,   3.158,   3.202,   0.889,   1.449,   2.194,   0.609, 58,  0,   0.611,   0.355,   0.099,   0.187,   0.109,   0.030,  51.000,  51.000,  71.000,   0.000,   0.000,   52,   8.211
13:30:28:845, 357114517771743,    0.671,   11.000, 3700,   3.432,   3.578,   0.994,   1.971,   2.410,   0.669, 59,  0,   0.477,   0.407,   0.113,   0.097,   0.120,   0.033,  51.000,  51.000,  71.000,   0.000,   0.000,   24,   3.580
13:30:28:953, 357114712600740,    0.779,    6.000,  800,   2.507,   3.849,   1.069,   1.225,   2.542,   0.706, 58,  0,   0.341,   0.444,   0.123,   0.009,   0.121,   0.034,  51.000,  51.000,  71.000,   0.000,   0.000,   23,   0.000
13:30:29:061, 357114907551504,    0.887,    6.000,  800,   1.996,   4.065,   1.129,   0.663,   2.614,   0.726, 57,  0,   0.272,   0.473,   0.131,   0.096,   0.131,   0.036,  51.000,  51.000,  71.000,   0.000,   0.000,   27,   0.000
13:30:29:170, 357115103860403,    0.996,    2.000,  900,   2.428,   4.330,   1.203,   0.972,   2.720,   0.756, 57,  0,   0.163,   0.491,   0.136,   0.254,   0.159,   0.044,  51.000,  51.000,  71.000,   0.000,   0.000,    9,   0.000
13:30:29:279, 357115300430970,    1.106,   11.000, 1500,   3.271,   4.687,   1.302,   1.845,   2.921,   0.812, 58,  0,   0.233,   0.517,   0.144,   0.212,   0.182,   0.051,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
13:30:29:387, 357115494669939,    1.214,    7.000,  800,   2.052,   4.908,   1.363,   0.645,   2.991,   0.831, 57,  0,   0.189,   0.537,   0.149,   0.200,   0.204,   0.057,  51.000,  51.000,  71.000,   0.000,   0.000,   17,   0.000
