System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
20:22:27:570, 36815224431266,    0.109,    9.000, 2600,   7.536,   0.822,   0.228,   5.614,   0.612,   0.170, 54,  0,   0.711,   0.078,   0.022,   0.293,   0.032,   0.009,  51.000,  51.000,  71.000,   0.000,   0.000,   78,  14.263
20:22:27:681, 36815424142139,    0.220,   14.000, 3000,   5.395,   1.421,   0.395,   3.641,   1.016,   0.282, 53,  0,   0.646,   0.149,   0.041,   0.254,   0.060,   0.017,  51.000,  51.000,  71.000,   0.000,   0.000,   72,  13.017
20:22:27:790, 36815619227754,    0.328,   18.000, 3700,   9.209,   2.419,   0.672,   7.320,   1.810,   0.503, 61,  0,   0.702,   0.225,   0.063,   0.315,   0.094,   0.026,  51.000,  51.000,  71.000,   0.000,   0.000,   85,  15.740
20:22:27:900, 36815818057863,    0.439,   11.000, 3700,   7.742,   3.274,   0.909,   5.987,   2.471,   0.686, 55,  0,   0.674,   0.300,   0.083,   0.266,   0.124,   0.034,  51.000,  51.000,  71.000,   0.000,   0.000,   74,  14.084
20:22:28:007, 36816010735518,    0.546,   10.000, 2200,   6.540,   3.974,   1.104,   4.433,   2.946,   0.818, 55,  0,   0.730,   0.378,   0.105,   0.258,   0.151,   0.042,  51.000,  51.000,  71.000,   0.000,   0.000,   70,  12.445
20:22:28:117, 36816209076097,    0.656,   11.000, 2200,   4.468,   4.466,   1.241,   2.726,   3.246,   0.902, 54,  0,   0.683,   0.453,   0.126,   0.223,   0.176,   0.049,  51.000,  51.000,  71.000,   0.000,   0.000,   57,  10.159
20:22:28:228, 36816407773859,    0.766,   13.000, 2200,   4.882,   5.005,   1.390,   2.922,   3.569,   0.991, 53,  0,   0.806,   0.542,   0.151,   0.286,   0.207,   0.058,  51.000,  51.000,  71.000,   0.000,   0.000,   71,  13.399
20:22:28:338, 36816605407427,    0.876,    8.000, 1300,   3.374,   5.375,   1.493,   1.600,   3.744,   1.040, 53,  0,   0.682,   0.617,   0.171,   0.224,   0.232,   0.064,  51.000,  51.000,  71.000,   0.000,   0.000,   57,  10.793
20:22:28:448, 36816804369871,    0.987,   13.000, 1300,   2.822,   5.687,   1.580,   1.106,   3.867,   1.074, 53,  0,   0.634,   0.687,   0.191,   0.204,   0.254,   0.071,  51.000,  51.000,  71.000,   0.000,   0.000,   50,   9.034
20:22:28:558, 36817002080567,    1.097,   27.000, 3700,  12.282,   7.036,   1.955,  10.172,   4.984,   1.384, 58,  0,   0.906,   0.787,   0.219,   0.288,   0.286,   0.079,  51.000,  51.000,  71.000,   0.000,   0.000,   73,  14.189
20:22:28:667, 36817198013965,    1.206,   12.000, 3700,   9.494,   8.070,   2.242,   7.656,   5.817,   1.616, 56,  0,   0.767,   0.870,   0.242,   0.229,   0.311,   0.086,  51.000,  51.000,  71.000,   0.000,   0.000,   56,  10.328
20:22:28:775, 36817392357005,    1.313,   15.000, 3700,  10.017,   9.151,   2.542,   8.057,   6.687,   1.858, 57,  0,   0.769,   0.953,   0.265,   0.252,   0.338,   0.094,  51.000,  51.000,  71.000,   0.000,   0.000,   62,  10.839
